# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	57	3.972794e-37	9.171578288771931e-35	2.000406	414	0.01088013	536	0.0000019906014561007463	1.328209	103	118	0.00834684	
intrinsic apoptotic signaling pathway in response to DNA damage	64	1.2562e-35	2.5828649687499997e-33	2.101642	351	0.009224462	924	0.000812267188030303	1.323163	60	69	0.004862237	
snRNA metabolic process	74	7.369597e-33	1.3104936070675677e-30	2.09174	326	0.008567449	1476	0.02047974575677507	1.220848	69	86	0.005591572	
IRE1-mediated unfolded protein response	77	2.90786e-32	4.969419446753247e-30	2.319526	254	0.006675252	1116	0.004544202422311828	1.311756	50	58	0.004051864	
snRNA transcription from RNA polymerase II promoter	82	3.823567e-30	6.135892457682927e-28	2.078943	302	0.007936717	1328	0.011541146530873493	1.260785	58	70	0.004700162	
regulation of receptor biosynthetic process	89	1.550285e-28	2.2921573387640447e-26	3.151821	131	0.003442748	1500	0.022561991539333335	1.445555	19	20	0.001539708	
alpha-linolenic acid metabolic process	101	3.471783e-27	4.523286385841584e-25	4.081345	89	0.002338966	1625	0.034465477852923074	1.521637	13	13	0.001053485	
ER-nucleus signaling pathway	157	5.99865e-23	5.027785691082803e-21	2.183992	201	0.005282384	1149	0.005239811872149696	1.391211	32	35	0.002593193	
histone monoubiquitination	222	8.82603e-20	5.231609404054054e-18	2.151168	177	0.004651652	1651	0.0363562765978195	1.358604	25	28	0.002025932	
intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	254	5.676503e-19	2.940830825866142e-17	2.34683	140	0.003679273	1565	0.027860386149520765	1.364226	26	29	0.002106969	
positive regulation of triglyceride metabolic process	349	5.530648e-16	2.085323697191977e-14	2.633566	93	0.002444088	1594	0.030846388343161855	1.441551	18	19	0.001458671	
regulation of cholesterol homeostasis	438	1.170202e-13	3.5156822187214616e-12	2.526368	84	0.002207564	1750	0.048714196912000005	1.521637	12	12	0.0009724473	
hematopoietic stem cell differentiation	452	1.828846e-13	5.324288609292035e-12	2.52054	83	0.002181283	1750	0.048714196912000005	1.521637	12	12	0.0009724473	
'de novo' posttranslational protein folding	713	1.09501e-9	2.0209307980364656e-8	2.15667	78	0.00204988	1167	0.0058709154760068554	1.521637	18	18	0.001458671	
chaperone mediated protein folding requiring cofactor	877	2.08472e-8	3.1280308415051306e-7	2.539433	47	0.001235184	1750	0.048714196912000005	1.521637	12	12	0.0009724473	
proteasome assembly	1087	4.288994e-7	0.00000519216854149034	2.196256	51	0.001340306	1625	0.034465477852923074	1.521637	13	13	0.001053485	
positive regulation of transcription elongation from RNA polymerase II promoter	1229	0.000001850244	0.000019810708540276647	2.247075	43	0.001130062	1435	0.016843703400696863	1.521637	15	15	0.001215559	
