"ID","name","Binom_Genome_Fraction","Binom_Expected","Binom_Observed_Region_Hits","Binom_Fold_Enrichment","Binom_Region_Set_Coverage","Binom_Raw_PValue","Binom_Adjp_BH","Hyper_Total_Genes","Hyper_Expected","Hyper_Observed_Gene_Hits","Hyper_Fold_Enrichment","Hyper_Gene_Set_Coverage","Hyper_Term_Gene_Coverage","Hyper_Raw_PValue","Hyper_Adjp_BH"
"GO:1904998","negative regulation of leukocyte adhesion to arterial endothelial cell",0.0004103135,13.83126,111,8.0253,0.003292889,2.395356e-60,3.1520489604e-56,1,0.3563935,1,2.805888,0.0001494322,1,0.3563935,0.975134941138343
"GO:1904997","regulation of leukocyte adhesion to arterial endothelial cell",0.00041401,13.95586,111,7.953647,0.003292889,5.731956e-60,3.7713404502e-56,2,0.7127869,1,1.402944,0.0001494322,0.5,0.5857828,1
"GO:0014740","negative regulation of muscle hyperplasia",0.0004239753,14.29178,111,7.7667,0.003292889,5.766623e-59,2.52943306856667e-55,2,0.7127869,1,1.402944,0.0001494322,0.5,0.5857828,1
"GO:0014738","regulation of muscle hyperplasia",0.00043017,14.5006,111,7.654855,0.003292889,2.347837e-58,7.72379677075e-55,3,1.06918,1,0.9352959,0.0001494322,0.3333333,0.7334229,1
"GO:0046985","positive regulation of hemoglobin biosynthetic process",0.000435674,14.68614,111,7.558149,0.003292889,8.017418e-58,2.11002406924e-54,3,1.06918,1,0.9352959,0.0001494322,0.3333333,0.7334229,1
"GO:0071300","cellular response to retinoic acid",0.0100931,340.2282,669,1.966327,0.01984633,1.311022e-56,2.87528974966667e-53,68,24.23476,30,1.237892,0.004482965,0.4411765,0.09209984,0.820642753455571
"GO:0046984","regulation of hemoglobin biosynthetic process",0.0004648665,15.67018,111,7.083516,0.003292889,4.06219e-55,7.63633688714286e-52,4,1.425574,1,0.7014719,0.0001494322,0.25,0.8284444,1
"GO:0035166","post-embryonic hemopoiesis",0.0005637021,19.00183,119,6.262553,0.003530214,1.544599e-53,2.540672280125e-50,3,1.06918,3,2.805888,0.0004482965,1,0.04525472,0.619674152424558
"GO:0014067","negative regulation of phosphatidylinositol 3-kinase signaling",0.001219247,41.09959,172,4.184956,0.005102495,2.563952e-52,3.74878270755556e-49,12,4.276722,6,1.402944,0.0008965929,0.5,0.2269346,0.975134941138343
"GO:0032526","response to retinoic acid",0.01340925,452.0124,805,1.780925,0.02388086,1.653213e-51,2.1754629867e-48,103,36.70853,45,1.225873,0.006724447,0.4368932,0.05540547,0.659677857712146
"GO:2000342","negative regulation of chemokine (C-X-C motif) ligand 2 production",0.0005099283,17.18917,111,6.457553,0.003292889,2.61734e-51,3.13105246e-48,2,0.7127869,1,1.402944,0.0001494322,0.5,0.5857828,1
"GO:0071409","cellular response to cycloheximide",0.0006211257,20.93753,121,5.779097,0.003589546,7.051355e-51,7.73239837041667e-48,3,1.06918,3,2.805888,0.0004482965,1,0.04525472,0.619674152424558
"GO:0045415","negative regulation of interleukin-8 biosynthetic process",0.0005390064,18.16937,111,6.109184,0.003292889,4.690753e-49,4.74812451746154e-46,4,1.425574,1,0.7014719,0.0001494322,0.25,0.8284444,1
"GO:0046898","response to cycloheximide",0.0006535946,22.03202,121,5.492006,0.003589546,1.139307e-48,1.07086720092857e-45,4,1.425574,3,2.104416,0.0004482965,0.75,0.1326474,0.820642753455571
"GO:1904995","negative regulation of leukocyte adhesion to vascular endothelial cell",0.0009506271,32.04469,145,4.524931,0.004301522,3.448774e-48,3.02549447106667e-45,5,1.781967,3,1.683533,0.0004482965,0.6,0.245155,0.975134941138343
"GO:0003221","right ventricular cardiac muscle tissue morphogenesis",0.0009098503,30.67014,141,4.597305,0.004182859,1.137943e-47,9.358869960625e-45,3,1.06918,2,1.870592,0.0002988643,0.6666667,0.2905028,0.975134941138343
"GO:2000194","regulation of female gonad development",0.001234181,41.603,161,3.869913,0.004776173,5.859682e-45,4.53573855517647e-42,13,4.633115,5,1.079188,0.0007471608,0.3846154,0.5191304,1
"GO:2000195","negative regulation of female gonad development",0.0008676717,29.24834,132,4.513076,0.003915868,6.521963e-44,4.76791728427778e-41,5,1.781967,2,1.122355,0.0002988643,0.4,0.5838271,1
"GO:0007500","mesodermal cell fate determination",0.0008487578,28.61078,130,4.543743,0.003856537,1.424132e-43,9.86323841473684e-41,3,1.06918,3,2.805888,0.0004482965,1,0.04525472,0.619674152424558
"GO:0032682","negative regulation of chemokine production",0.001373226,46.29009,167,3.607684,0.004954167,7.976882e-43,5.2483895119e-40,18,6.415082,7,1.091179,0.001046025,0.3888889,0.4738179,1
"GO:0034115","negative regulation of heterotypic cell-cell adhesion",0.000874857,29.49055,130,4.408191,0.003856537,3.063779e-42,1.91982227909524e-39,9,3.207541,4,1.247061,0.0005977286,0.4444444,0.4071669,1
"GO:0042271","susceptibility to natural killer cell mediated cytotoxicity",0.0006724326,22.66703,113,4.985214,0.00335222,1.025019e-41,6.13101137318182e-39,4,1.425574,1,0.7014719,0.0001494322,0.25,0.8284444,1
"GO:2000341","regulation of chemokine (C-X-C motif) ligand 2 production",0.001018036,34.31699,139,4.050472,0.004123528,3.98696e-41,2.28106115826087e-38,9,3.207541,4,1.247061,0.0005977286,0.4444444,0.4071669,1
"GO:0071498","cellular response to fluid shear stress",0.002859478,96.39016,247,2.562502,0.00732742,8.709631e-38,4.77541809704167e-35,18,6.415082,8,1.247061,0.001195457,0.4444444,0.2913077,0.975134941138343
"GO:0071499","cellular response to laminar fluid shear stress",0.0008109656,27.33684,118,4.316519,0.003500549,1.131889e-37,5.9578109404e-35,7,2.494754,2,0.8016822,0.0002988643,0.2857143,0.7769881,1
"GO:1902882","regulation of response to oxidative stress",0.008824806,297.4754,538,1.808553,0.01596013,1.659461e-36,8.39878742269231e-34,79,28.15508,27,0.9589743,0.004034668,0.3417722,0.6479108,1
"GO:0001710","mesodermal cell fate commitment",0.002045847,68.96346,193,2.798584,0.005725474,1.439704e-34,7.01669071703704e-32,13,4.633115,8,1.7267,0.001195457,0.6153846,0.05125107,0.654134655800194
"GO:1904994","regulation of leukocyte adhesion to vascular endothelial cell",0.001619734,54.5996,166,3.040315,0.004924501,6.284752e-34,2.95360898457143e-31,11,3.920328,5,1.275403,0.0007471608,0.4545455,0.3484851,0.975134941138343
"GO:0071447","cellular response to hydroperoxide",0.001589996,53.59719,164,3.059862,0.00486517,7.535974e-34,3.4195131677931e-31,8,2.851148,6,2.104416,0.0008965929,0.75,0.02776101,0.49936260826544
"GO:0071376","cellular response to corticotropin-releasing hormone stimulus",0.0007914335,26.67843,110,4.123181,0.003263223,1.462171e-33,6.41356939633333e-31,5,1.781967,4,2.24471,0.0005977286,0.8,0.05764229,0.659677857712146
"GO:1900407","regulation of cellular response to oxidative stress",0.007887005,265.863,483,1.816725,0.01432852,2.297824e-33,9.75389226322581e-31,70,24.94754,24,0.9620186,0.003586372,0.3428571,0.6372411,1
"GO:0097062","dendritic spine maintenance",0.001027855,34.64798,125,3.607714,0.003708208,1.67642e-32,6.89375336875e-30,8,2.851148,6,2.104416,0.0008965929,0.75,0.02776101,0.49936260826544
"GO:0006346","methylation-dependent chromatin silencing",0.0008469185,28.54878,111,3.888082,0.003292889,1.021473e-31,4.07320097181818e-29,11,3.920328,9,2.295726,0.001344889,0.8181818,0.002352882,0.129546335723849
"GO:1901031","regulation of response to reactive oxygen species",0.003983329,134.274,290,2.159762,0.008603044,1.360002e-31,5.26360774058823e-29,34,12.11738,15,1.237892,0.002241482,0.4411765,0.1953602,0.975134941138343
"GO:0045414","regulation of interleukin-8 biosynthetic process",0.001161937,39.16775,130,3.319058,0.003856537,2.293276e-30,8.62206253828572e-28,12,4.276722,3,0.7014719,0.0004482965,0.25,0.8592237,1
"GO:0003215","cardiac right ventricle morphogenesis",0.004712316,158.8475,321,2.020807,0.009522679,6.601735e-30,2.41311752402778e-27,19,6.771476,10,1.476783,0.001494322,0.5263158,0.09737179,0.820642753455571
"GO:0090051","negative regulation of cell migration involved in sprouting angiogenesis",0.001605905,54.13345,156,2.881767,0.004627844,1.42425e-29,5.06532587837838e-27,12,4.276722,5,1.16912,0.0007471608,0.4166667,0.4353068,1
"GO:0001912","positive regulation of leukocyte mediated cytotoxicity",0.003769402,127.0628,273,2.148544,0.008098727,1.654736e-29,5.73017658526316e-27,33,11.76098,15,1.275403,0.002241482,0.4545455,0.1593908,0.908236114310419
"GO:0045806","negative regulation of endocytosis",0.004205533,141.7643,293,2.066811,0.008692041,6.33211e-29,2.13651885871795e-26,48,17.10689,22,1.286032,0.003287507,0.4583333,0.09389027,0.820642753455571
"GO:0097155","fasciculation of sensory neuron axon",0.001279047,43.11538,134,3.10794,0.0039752,1.348477e-28,4.43615221075e-26,3,1.06918,2,1.870592,0.0002988643,0.6666667,0.2905028,0.975134941138343
"GO:0097156","fasciculation of motor neuron axon",0.001253533,42.25533,132,3.123866,0.003915868,2.139055e-28,6.86532310853659e-26,2,0.7127869,1,1.402944,0.0001494322,0.5,0.5857828,1
"GO:0014745","negative regulation of muscle adaptation",0.001499149,50.53483,146,2.889096,0.004331188,6.773746e-28,2.12227913366667e-25,11,3.920328,4,1.020323,0.0005977286,0.3636364,0.5921001,1
"GO:0030212","hyaluronan metabolic process",0.003784707,127.5787,268,2.100664,0.007950399,1.348034e-27,4.12529753627907e-25,32,11.40459,16,1.402944,0.002390915,0.5,0.06726125,0.704129505767701
"GO:0032717","negative regulation of interleukin-8 production",0.001396644,47.07948,137,2.909972,0.004064197,1.445339e-26,4.32254906840909e-24,17,6.058689,7,1.155365,0.001046025,0.4117647,0.4028417,1
"GO:0019878","lysine biosynthetic process via aminoadipic acid",0.000467844,15.77055,74,4.692289,0.002195259,2.252152e-26,6.58579292622222e-24,2,0.7127869,2,2.805888,0.0002988643,1,0.1270041,0.820642753455571
"GO:0001910","regulation of leukocyte mediated cytotoxicity",0.004542798,153.1332,301,1.965609,0.008929366,2.515479e-26,7.19591046978261e-24,50,17.81967,20,1.122355,0.002988643,0.4,0.306114,0.975134941138343
"GO:0048246","macrophage chemotaxis",0.001171413,39.48717,122,3.089611,0.003619211,5.594437e-26,1.56632332942553e-23,13,4.633115,7,1.510863,0.001046025,0.5384615,0.1403044,0.844586276120769
"GO:1904322","cellular response to forskolin",0.002270223,76.52695,184,2.404382,0.005458483,1.566394e-25,4.29420388458333e-23,10,3.563935,7,1.964121,0.001046025,0.7,0.02881181,0.49936260826544
"GO:1904796","regulation of core promoter binding",0.001591355,53.643,146,2.721697,0.004331188,1.920471e-25,5.15744446714286e-23,7,2.494754,4,1.603364,0.0005977286,0.5714286,0.2104783,0.975134941138343
"GO:0006828","manganese ion transport",0.001551824,52.31044,143,2.73368,0.004242191,3.947156e-25,1.03881251608e-22,10,3.563935,5,1.402944,0.0007471608,0.5,0.262648,0.975134941138343
"GO:0034599","cellular response to oxidative stress",0.02148886,724.3678,1013,1.398461,0.03005132,7.84355e-25,2.02378969509804e-22,224,79.83214,88,1.102313,0.01315003,0.3928571,0.1411241,0.8479689643379
"GO:0009408","response to heat",0.008776122,295.8343,487,1.646192,0.01444718,1.040932e-24,2.63415849769231e-22,93,33.14459,36,1.08615,0.005379558,0.3870968,0.3020421,0.975134941138343
"GO:0034605","cellular response to heat",0.004880155,164.5052,311,1.890518,0.009226023,1.393632e-24,3.46015160150943e-22,46,16.3941,20,1.219951,0.002988643,0.4347826,0.168852,0.949945903377512
"GO:0031077","post-embryonic camera-type eye development",0.001155122,38.93801,118,3.030458,0.003500549,1.637118e-24,3.98941403e-22,7,2.494754,2,0.8016822,0.0002988643,0.2857143,0.7769881,1
"GO:0043154","negative regulation of cysteine-type endopeptidase activity involved in apoptotic process",0.007373302,248.5466,424,1.705917,0.01257824,2.063586e-24,4.93722330436364e-22,90,32.07541,36,1.122355,0.005379558,0.4,0.2236864,0.975134941138343
"GO:0031343","positive regulation of cell killing",0.004505158,151.8644,291,1.916183,0.008632709,6.267969e-24,1.47286078698214e-21,42,14.96853,19,1.26933,0.002839211,0.452381,0.1280532,0.820642753455571
"GO:0033194","response to hydroperoxide",0.002070186,69.7839,169,2.421762,0.005013498,6.644255e-24,1.53389037798246e-21,18,6.415082,7,1.091179,0.001046025,0.3888889,0.4738179,1
"GO:0051893","regulation of focal adhesion assembly",0.00717538,241.8749,413,1.707494,0.01225192,6.847899e-24,1.55364660243103e-21,54,19.24525,29,1.506866,0.004333533,0.537037,0.004937933,0.203057063584375
"GO:1903391","regulation of adherens junction organization",0.007390537,249.1276,421,1.689897,0.01248925,1.569544e-23,3.50061516881356e-21,57,20.31443,30,1.476783,0.004482965,0.5263158,0.006294921,0.232041898845938
"GO:0043537","negative regulation of blood vessel endothelial cell migration",0.003156937,106.4172,224,2.104923,0.00664511,1.877434e-23,4.11752566766667e-21,27,9.622623,12,1.247061,0.001793186,0.4444444,0.2228876,0.975134941138343
"GO:0036006","cellular response to macrophage colony-stimulating factor stimulus",0.00150006,50.56551,136,2.68958,0.004034531,2.252157e-23,4.85838261688525e-21,8,2.851148,6,2.104416,0.0008965929,0.75,0.02776101,0.49936260826544
"GO:1903510","mucopolysaccharide metabolic process",0.01463842,493.4465,727,1.473311,0.02156694,2.406597e-23,5.10780805209677e-21,109,38.84689,51,1.312847,0.00762104,0.4678899,0.01059995,0.318882527694064
"GO:1904798","positive regulation of core promoter binding",0.001532445,51.65717,137,2.6521,0.004064197,5.249807e-23,1.09654302084127e-20,6,2.138361,3,1.402944,0.0004482965,0.5,0.3658516,0.975134941138343
"GO:0033552","response to vitamin B3",0.0003292508,11.09871,57,5.13573,0.001690943,1.702833e-22,3.395087795e-20,1,0.3563935,1,2.805888,0.0001494322,1,0.3563935,0.975134941138343
"GO:0035684","helper T cell extravasation",0.0003292508,11.09871,57,5.13573,0.001690943,1.702833e-22,3.395087795e-20,1,0.3563935,1,2.805888,0.0001494322,1,0.3563935,0.975134941138343
"GO:0071403","cellular response to high density lipoprotein particle stimulus",0.0003292508,11.09871,57,5.13573,0.001690943,1.702833e-22,3.395087795e-20,1,0.3563935,1,2.805888,0.0001494322,1,0.3563935,0.975134941138343
"GO:0070507","regulation of microtubule cytoskeleton organization",0.01566773,528.1435,762,1.44279,0.02260524,3.615288e-22,7.10053355104478e-20,153,54.5282,59,1.082009,0.008816497,0.3856209,0.2490785,0.975134941138343
"GO:0050847","progesterone receptor signaling pathway",0.001039213,35.03083,106,3.025906,0.003144561,3.782748e-22,7.32017366647059e-20,8,2.851148,5,1.75368,0.0007471608,0.625,0.1135811,0.820642753455571
"GO:2000501","regulation of natural killer cell chemotaxis",0.0005855054,19.7368,76,3.850675,0.002254591,5.032915e-22,9.59827949057971e-20,8,2.851148,5,1.75368,0.0007471608,0.625,0.1135811,0.820642753455571
"GO:0034114","regulation of heterotypic cell-cell adhesion",0.001649768,55.61201,141,2.535423,0.004182859,6.400057e-22,1.20311928661429e-19,20,7.127869,8,1.122355,0.001195457,0.4,0.4226325,1
