"ID","name","Binom_Genome_Fraction","Binom_Expected","Binom_Observed_Region_Hits","Binom_Fold_Enrichment","Binom_Region_Set_Coverage","Binom_Raw_PValue","Binom_Adjp_BH","Hyper_Total_Genes","Hyper_Expected","Hyper_Observed_Gene_Hits","Hyper_Fold_Enrichment","Hyper_Gene_Set_Coverage","Hyper_Term_Gene_Coverage","Hyper_Raw_PValue","Hyper_Adjp_BH"
"GO:0003331","positive regulation of extracellular matrix constituent secretion",0.0003061516,9.186996,60,6.53097,0.001999467,8.563541e-29,5.73264400165e-25,3,1.260585,2,1.586565,0.0002534854,0.6666667,0.3813027,0.960956671724018
"GO:0001100","negative regulation of exit from mitosis",0.0002205417,6.618015,52,7.85734,0.001732871,8.712887e-29,5.73264400165e-25,1,0.4201949,1,2.379848,0.0001267427,1,0.4201949,0.960956671724018
"GO:0072537","fibroblast activation",0.0004650942,13.95655,64,4.585661,0.002132765,1.540777e-22,6.75836151433333e-19,4,1.68078,2,1.189924,0.0002534854,0.5,0.5593891,1
"GO:0035508","positive regulation of myosin-light-chain-phosphatase activity",0.0001730467,5.192785,39,7.510421,0.001299653,2.442993e-21,8.03683622175e-18,1,0.4201949,1,2.379848,0.0001267427,1,0.4201949,0.960956671724018
"GO:2000821","regulation of grooming behavior",0.001752724,52.59574,134,2.547735,0.004465476,4.276599e-21,1.12551532482e-17,5,2.100975,4,1.903878,0.0005069708,0.8,0.1034457,0.782341075200919
"GO:0072189","ureter development",0.003350875,100.553,204,2.02878,0.006798187,8.12183e-20,1.78125268283333e-16,12,5.042339,10,1.983207,0.001267427,0.8333333,0.004328705,0.164153974337176
"GO:0038002","endocrine signaling",0.0001212074,3.637191,32,8.797997,0.001066382,9.763677e-20,1.8354317949e-16,1,0.4201949,1,2.379848,0.0001267427,1,0.4201949,0.960956671724018
"GO:1901203","positive regulation of extracellular matrix assembly",0.001541879,46.26871,118,2.55032,0.003932285,8.20886e-19,1.35025485925e-15,9,3.781754,5,1.322138,0.0006337136,0.5555556,0.3100868,0.960956671724018
"GO:0090272","negative regulation of fibroblast growth factor production",0.0005468214,16.40902,62,3.77841,0.002066116,6.702816e-18,9.80026174933333e-15,3,1.260585,2,1.586565,0.0002534854,0.6666667,0.3813027,0.960956671724018
"GO:2000353","positive regulation of endothelial cell apoptotic process",0.001767193,53.02993,126,2.376017,0.00419888,1.198089e-17,1.5765653151e-14,14,5.882729,7,1.189924,0.000887199,0.5,0.3648275,0.960956671724018
"GO:2000048","negative regulation of cell-cell adhesion mediated by cadherin",0.0004130129,12.39369,52,4.195683,0.001732871,4.58215e-17,5.48150107727273e-14,4,1.68078,1,0.594962,0.0001267427,0.25,0.8870133,1
"GO:1901201","regulation of extracellular matrix assembly",0.002394205,71.84531,153,2.129575,0.00509864,5.592686e-17,6.13284625616667e-14,13,5.462534,7,1.281457,0.000887199,0.5384615,0.2773778,0.960956671724018
"GO:0006893","Golgi to plasma membrane transport",0.003906932,117.2392,217,1.850917,0.007231405,9.890812e-17,1.00117842390769e-13,41,17.22799,23,1.335037,0.002915082,0.5609756,0.04834392,0.570638795811659
"GO:1901300","positive regulation of hydrogen peroxide-mediated programmed cell death",0.0005763043,17.29374,60,3.469464,0.001999467,9.403409e-16,8.29353431766667e-13,4,1.68078,2,1.189924,0.0002534854,0.5,0.5593891,1
"GO:0032526","response to retinoic acid",0.01340925,402.3848,571,1.41904,0.01902826,9.453835e-16,8.29353431766667e-13,103,43.28008,45,1.039739,0.005703422,0.4368932,0.4016873,0.960956671724018
"GO:1902510","regulation of apoptotic DNA fragmentation",0.0005143498,15.43461,56,3.62821,0.001866169,1.33393e-15,1.097074054375e-12,7,2.941364,2,0.6799565,0.0002534854,0.2857143,0.8662706,1
"GO:0090270","regulation of fibroblast growth factor production",0.0007873984,23.62825,71,3.004878,0.002366036,3.003642e-15,2.32499559282353e-12,6,2.52117,3,1.189924,0.0003802281,0.5,0.497503,1
"GO:0034331","cell junction maintenance",0.0008271856,24.82219,73,2.940918,0.002432685,3.566655e-15,2.6074229525e-12,12,5.042339,9,1.784886,0.001140684,0.75,0.02181713,0.403568468627451
"GO:2000774","positive regulation of cellular senescence",0.001119332,33.5889,88,2.619913,0.002932551,4.287831e-15,2.96966148047368e-12,10,4.201949,6,1.427909,0.0007604563,0.6,0.201912,0.87803090521767
"GO:0045760","positive regulation of action potential",0.001664732,49.95527,114,2.282041,0.003798987,5.665748e-15,3.7277788966e-12,11,4.622144,7,1.514449,0.000887199,0.6363636,0.1261622,0.820884880680138
"GO:0071300","cellular response to retinoic acid",0.0100931,302.8736,446,1.472561,0.0148627,6.468777e-15,3.98085529677273e-12,68,28.57325,33,1.154926,0.00418251,0.4852941,0.1667969,0.87803090521767
"GO:0021897","forebrain astrocyte development",0.0002319109,6.959182,36,5.173022,0.00119968,6.655431e-15,3.98085529677273e-12,2,0.8403898,2,2.379848,0.0002534854,1,0.1765508,0.87803090521767
"GO:0009408","response to heat",0.008776122,263.3539,397,1.507477,0.01322981,8.182298e-15,4.68134171226087e-12,93,39.07813,50,1.279488,0.006337136,0.5376344,0.01457617,0.320213390701169
"GO:0061051","positive regulation of cell growth involved in cardiac muscle cell development",0.0008427884,25.29039,73,2.886471,0.002432685,8.82573e-15,4.83907421125e-12,7,2.941364,3,1.019935,0.0003802281,0.4285714,0.623295,1
"GO:0090343","positive regulation of cell aging",0.001140276,34.2174,88,2.571791,0.002932551,1.183388e-14,6.2288810768e-12,11,4.622144,6,1.298099,0.0007604563,0.5454545,0.2928118,0.960956671724018
"GO:1903055","positive regulation of extracellular matrix organization",0.002084024,62.53741,132,2.110737,0.004398827,1.320595e-14,6.68373446346154e-12,18,7.563509,8,1.05771,0.001013942,0.4444444,0.5068607,1
"GO:1905206","positive regulation of hydrogen peroxide-induced cell death",0.0006146662,18.4449,60,3.252931,0.001999467,1.461039e-14,7.12067118555556e-12,5,2.100975,2,0.9519392,0.0002534854,0.4,0.697067,1
"GO:0034392","negative regulation of smooth muscle cell apoptotic process",0.0006166525,18.50451,60,3.242453,0.001999467,1.672925e-14,7.86215002678572e-12,5,2.100975,4,1.903878,0.0005069708,0.8,0.1034457,0.782341075200919
"GO:0032967","positive regulation of collagen biosynthetic process",0.002583534,77.52669,153,1.973514,0.00509864,2.366568e-14,1.07385063144828e-11,24,10.08468,17,1.685726,0.002154626,0.7083333,0.004093906,0.160109223462908
"GO:0010714","positive regulation of collagen metabolic process",0.002594726,77.86254,153,1.965001,0.00509864,3.293977e-14,1.44484811143333e-11,25,10.50487,17,1.618297,0.002154626,0.68,0.007807707,0.229815107492239
"GO:1901298","regulation of hydrogen peroxide-mediated programmed cell death",0.001434605,43.04962,100,2.322901,0.003332445,8.837463e-14,3.75136050377419e-11,10,4.201949,5,1.189924,0.0006337136,0.5,0.4182616,0.960956671724018
"GO:0014861","regulation of skeletal muscle contraction via regulation of action potential",0.0003620825,10.86537,43,3.957527,0.001432951,1.461669e-13,6.0106569909375e-11,1,0.4201949,1,2.379848,0.0001267427,1,0.4201949,0.960956671724018
"GO:0043001","Golgi to plasma membrane protein transport",0.001985451,59.5794,123,2.064472,0.004098907,4.263805e-13,1.70022454530303e-10,25,10.50487,14,1.332715,0.001774398,0.56,0.1128861,0.820884880680138
"GO:1903209","positive regulation of oxidative stress-induced cell death",0.00162006,48.61477,106,2.180407,0.003532391,7.271621e-13,2.81433119820588e-10,14,5.882729,6,1.019935,0.0007604563,0.4285714,0.5760199,1
"GO:0018003","peptidyl-lysine N6-acetylation",0.0001190203,3.571561,24,6.719751,0.0007997867,9.735979e-13,3.66044993317143e-10,1,0.4201949,1,2.379848,0.0001267427,1,0.4201949,0.960956671724018
"GO:0090076","relaxation of skeletal muscle",0.0003870492,11.61457,43,3.702246,0.001432951,1.243856e-12,4.33524640157895e-10,2,0.8403898,1,1.189924,0.0001267427,0.5,0.663839,1
"GO:0072660","maintenance of protein location in plasma membrane",0.0002933602,8.803152,37,4.20304,0.001233005,1.251914e-12,4.33524640157895e-10,1,0.4201949,1,2.379848,0.0001267427,1,0.4201949,0.960956671724018
"GO:1900827","positive regulation of membrane depolarization during cardiac muscle cell action potential",0.0002933602,8.803152,37,4.20304,0.001233005,1.251914e-12,4.33524640157895e-10,1,0.4201949,1,2.379848,0.0001267427,1,0.4201949,0.960956671724018
"GO:0061050","regulation of cell growth involved in cardiac muscle cell development",0.001162224,34.87601,84,2.408533,0.002799254,1.303363e-12,4.39768044025641e-10,12,5.042339,5,0.9916033,0.0006337136,0.4166667,0.6180565,1
"GO:0021960","anterior commissure morphogenesis",0.001128436,33.8621,82,2.421587,0.002732605,1.828196e-12,6.014307791e-10,5,2.100975,3,1.427909,0.0003802281,0.6,0.3528722,0.960956671724018
"GO:0035507","regulation of myosin-light-chain-phosphatase activity",0.001092692,32.78951,80,2.439804,0.002665956,2.348182e-12,7.53651876536585e-10,7,2.941364,5,1.699891,0.0006337136,0.7142857,0.1170874,0.820884880680138
"GO:0021796","cerebral cortex regionalization",0.001161537,34.8554,83,2.381266,0.002765929,3.079379e-12,9.64798768119048e-10,7,2.941364,5,1.699891,0.0006337136,0.7142857,0.1170874,0.820884880680138
"GO:0002024","diet induced thermogenesis",0.001479211,44.38817,97,2.185267,0.003232471,5.798966e-12,1.77461845567442e-09,9,3.781754,7,1.850993,0.000887199,0.7777778,0.03343829,0.47244162611465
"GO:0051601","exocyst localization",0.0008107696,24.32957,65,2.671646,0.002166089,6.338128e-12,1.89553241709091e-09,8,3.361559,4,1.189924,0.0005069708,0.5,0.4531128,0.995082132027342
"GO:0034970","histone H3-R2 methylation",0.0003926478,11.78258,42,3.564585,0.001399627,7.220267e-12,2.11136652117778e-09,2,0.8403898,2,2.379848,0.0002534854,1,0.1765508,0.87803090521767
"GO:1901033","positive regulation of response to reactive oxygen species",0.0007218993,21.66275,60,2.769731,0.001999467,9.831276e-12,2.81238610617391e-09,8,3.361559,2,0.594962,0.0002534854,0.25,0.913226,1
"GO:1900409","positive regulation of cellular response to oxidative stress",0.001701034,51.04462,106,2.076615,0.003532391,1.178996e-11,3.30093794978723e-09,16,6.723119,6,0.892443,0.0007604563,0.375,0.7286507,1
"GO:0031657","regulation of cyclin-dependent protein serine/threonine kinase activity involved in G1/S transition of mitotic cell cycle",0.001006102,30.19111,74,2.451053,0.002466009,1.222062e-11,3.35023205375e-09,8,3.361559,6,1.784886,0.0007604563,0.75,0.06347111,0.652003385238095
"GO:2000351","regulation of endothelial cell apoptotic process",0.004651168,139.5722,225,1.612068,0.007498001,1.672891e-11,4.4578823254e-09,40,16.8078,17,1.011435,0.002154626,0.425,0.5358471,1
"GO:0045217","cell-cell junction maintenance",0.0004038029,12.11732,42,3.466114,0.001399627,1.693853e-11,4.4578823254e-09,10,4.201949,7,1.665894,0.000887199,0.7,0.07128655,0.664442967705922
"GO:0042474","middle ear morphogenesis",0.003325157,99.7813,173,1.733792,0.005765129,1.821216e-11,4.69909438117647e-09,19,7.983703,13,1.628317,0.001647655,0.6842105,0.01833876,0.36617157118003
"GO:1903624","regulation of DNA catabolic process",0.0006762751,20.29366,57,2.808758,0.001899493,1.878118e-11,4.75272206961539e-09,9,3.781754,3,0.7932826,0.0003802281,0.3333333,0.8043396,1
"GO:0070202","regulation of establishment of protein localization to chromosome",0.0008547135,25.64824,66,2.573276,0.002199413,2.082558e-11,5.17063787207547e-09,11,4.622144,4,0.8653992,0.0005069708,0.3636364,0.7494738,1
"GO:1902884","positive regulation of response to oxidative stress",0.001811517,54.35999,110,2.023547,0.003665689,2.177471e-11,5.3061742387037e-09,18,7.563509,7,0.9254964,0.000887199,0.3888889,0.6901771,1
"GO:0060075","regulation of resting membrane potential",0.0009294154,27.8899,69,2.474014,0.002299387,3.94569e-11,9.40367072842105e-09,7,2.941364,6,2.03987,0.0007604563,0.8571429,0.02463192,0.418500855703226
"GO:0045218","zonula adherens maintenance",0.0002245847,6.739338,30,4.451476,0.0009997334,4.070588e-11,9.40367072842105e-09,3,1.260585,3,2.379848,0.0003802281,1,0.07417484,0.664442967705922
"GO:0031659","positive regulation of cyclin-dependent protein serine/threonine kinase activity involved in G1/S transition of mitotic cell cycle",0.0009921616,29.77279,72,2.418316,0.00239936,4.073328e-11,9.40367072842105e-09,7,2.941364,5,1.699891,0.0006337136,0.7142857,0.1170874,0.820884880680138
"GO:0097107","postsynaptic density assembly",0.0007508576,22.53173,60,2.662911,0.001999467,4.466642e-11,1.01338865651724e-08,4,1.68078,3,1.784886,0.0003802281,0.75,0.2032163,0.87803090521767
