"ID","name","Binom_Genome_Fraction","Binom_Expected","Binom_Observed_Region_Hits","Binom_Fold_Enrichment","Binom_Region_Set_Coverage","Binom_Raw_PValue","Binom_Adjp_BH","Hyper_Total_Genes","Hyper_Expected","Hyper_Observed_Gene_Hits","Hyper_Fold_Enrichment","Hyper_Gene_Set_Coverage","Hyper_Term_Gene_Coverage","Hyper_Raw_PValue","Hyper_Adjp_BH"
"GO:0009229","thiamine diphosphate biosynthetic process",0.0005105589,16.29551,106,6.50486,0.003321114,2.291729e-49,2.999873261e-45,1,0.3383033,1,2.955927,0.0001381597,1,0.3383033,0.880220671238322
"GO:0042357","thiamine diphosphate metabolic process",0.0005165305,16.4861,106,6.429657,0.003321114,6.513886e-49,4.263338387e-45,2,0.6766067,1,1.477964,0.0001381597,0.5,0.562168,1
"GO:0016266","O-glycan processing",0.001175007,37.50269,154,4.106372,0.004825015,4.53412e-46,1.97838769333333e-42,8,2.706427,8,2.955927,0.001105278,1,0.0001711347,0.00903287589919355
"GO:0070085","glycosylation",0.02409099,768.9121,1187,1.543739,0.03719021,1.058e-45,3.462305e-42,255,86.26735,111,1.286698,0.01533573,0.4352941,0.0007544137,0.0297448052198795
"GO:0006772","thiamine metabolic process",0.000628541,20.06114,107,5.333694,0.003352445,3.88091e-42,1.016022238e-38,3,1.01491,2,1.970618,0.0002763194,0.6666667,0.2659002,0.880220671238322
"GO:0014832","urinary bladder smooth muscle contraction",0.001419433,45.30405,162,3.575839,0.005075665,3.782171e-41,8.25143639833333e-38,8,2.706427,6,2.216945,0.0008289583,0.75,0.02121486,0.293818167471144
"GO:0006486","protein glycosylation",0.02348348,749.5223,1137,1.516966,0.03562365,9.895498e-41,1.850458126e-37,243,82.20771,108,1.313745,0.01492125,0.4444444,0.0003540449,0.0160918324340278
"GO:0060082","eye blink reflex",0.0004686298,14.95726,88,5.883432,0.002757151,4.640685e-38,7.59332083125e-35,1,0.3383033,1,2.955927,0.0001381597,1,0.3383033,0.880220671238322
"GO:0009100","glycoprotein metabolic process",0.03551656,1133.582,1582,1.395576,0.04956606,7.275344e-38,1.05815836622222e-34,318,107.5805,140,1.301352,0.01934236,0.4402516,9.070169e-05,0.005396750555
"GO:0030007","cellular potassium ion homeostasis",0.001001378,31.96097,127,3.973597,0.003979071,6.173981e-37,8.081741129e-34,8,2.706427,5,1.847454,0.0006907986,0.625,0.09308898,0.648884757009346
"GO:0060083","smooth muscle contraction involved in micturition",0.0009485768,30.27573,118,3.897512,0.003697089,1.059124e-33,1.26035756e-30,4,1.353213,4,2.955927,0.0005526389,1,0.01309142,0.220367457969152
"GO:1901137","carbohydrate derivative biosynthetic process",0.04558636,1454.98,1924,1.322355,0.06028135,1.604416e-33,1.75015045333333e-30,508,171.8581,199,1.157932,0.02749378,0.3917323,0.00612057,0.133977025585284
"GO:0009101","glycoprotein biosynthetic process",0.02946382,940.3969,1320,1.403663,0.04135727,1.08088e-32,1.08836301538462e-29,283,95.73985,126,1.316066,0.01740812,0.4452297,0.0001102223,0.00631113486026201
"GO:0044557","relaxation of smooth muscle",0.00172837,55.1644,164,2.972932,0.005138328,1.791779e-32,1.675313365e-29,9,3.04473,4,1.313745,0.0005526389,0.4444444,0.3619365,0.913389008097166
"GO:1901135","carbohydrate derivative metabolic process",0.07832429,2499.876,3085,1.234061,0.09665695,2.292826e-32,2.00087282266667e-29,877,296.692,321,1.08193,0.04434927,0.3660205,0.04196649,0.441592728376206
"GO:0007030","Golgi organization",0.008181268,261.1215,469,1.796099,0.01469436,2.080969e-31,1.702492763125e-28,94,31.80051,42,1.320733,0.005802708,0.4468085,0.01845539,0.2789619573903
"GO:0060073","micturition",0.001219898,38.9355,131,3.364539,0.004104396,3.905348e-31,3.00711796e-28,8,2.706427,5,1.847454,0.0006907986,0.625,0.09308898,0.648884757009346
"GO:0021852","pyramidal neuron migration",0.0005876449,18.75586,88,4.691867,0.002757151,4.923941e-31,3.58079931611111e-28,2,0.6766067,2,2.955927,0.0002763194,1,0.1144387,0.648884757009346
"GO:0035947","regulation of gluconeogenesis by regulation of transcription from RNA polymerase II promoter",0.001051398,33.55748,120,3.575953,0.003759752,6.102105e-31,4.20402918157895e-28,8,2.706427,4,1.477964,0.0005526389,0.5,0.2688746,0.880220671238322
"GO:0043966","histone H3 acetylation",0.002719157,86.78732,212,2.442753,0.006642228,5.079195e-30,3.3243331275e-27,48,16.23856,19,1.170054,0.002625035,0.3958333,0.2423476,0.880220671238322
"GO:0014848","urinary tract smooth muscle contraction",0.002133352,68.09021,180,2.643552,0.005639628,1.584844e-29,9.87886093333333e-27,9,3.04473,7,2.299054,0.000967118,0.7777778,0.009061087,0.172648659141194
"GO:0034465","response to carbon monoxide",0.0006770751,21.61021,92,4.257247,0.002882476,2.452866e-29,1.45945527e-26,4,1.353213,2,1.477964,0.0002763194,0.5,0.4162431,0.958083731141199
"GO:0045794","negative regulation of cell volume",0.0008240132,26.30003,101,3.8403,0.003164458,1.290064e-28,7.34214685217391e-26,7,2.368123,3,1.266826,0.0004144791,0.4285714,0.4408091,0.982327395131086
"GO:0010666","positive regulation of cardiac muscle cell apoptotic process",0.0007532021,24.03995,96,3.993352,0.003007801,1.663789e-28,9.07458250416667e-26,11,3.721337,4,1.074883,0.0005526389,0.3636364,0.5416343,1
"GO:0090075","relaxation of muscle",0.003368172,107.502,239,2.223215,0.007488172,5.378561e-28,2.8162145396e-25,18,6.08946,12,1.970618,0.001657917,0.6666667,0.004486535,0.107759161743119
"GO:1903438","positive regulation of mitotic cytokinetic process",0.0004159997,13.27746,70,5.272091,0.002193189,6.939215e-28,3.49362785961538e-25,2,0.6766067,2,2.955927,0.0002763194,1,0.1144387,0.648884757009346
"GO:0043954","cellular component maintenance",0.003762737,120.0953,255,2.123314,0.007989473,5.579772e-27,2.70515612888889e-24,41,13.87044,19,1.36982,0.002625035,0.4634146,0.06533332,0.561472331344262
"GO:0045186","zonula adherens assembly",0.0001054236,3.364806,38,11.29337,0.001190588,7.512432e-27,3.51206196e-24,1,0.3383033,1,2.955927,0.0001381597,1,0.3383033,0.880220671238322
"GO:0050882","voluntary musculoskeletal movement",0.0005673449,18.10795,80,4.41795,0.002506501,9.869498e-27,4.45488720068965e-24,8,2.706427,6,2.216945,0.0008289583,0.75,0.02121486,0.293818167471144
"GO:0071436","sodium ion export",0.0009616724,30.6937,106,3.453478,0.003321114,2.216505e-26,9.67135015e-24,8,2.706427,5,1.847454,0.0006907986,0.625,0.09308898,0.648884757009346
"GO:0055075","potassium ion homeostasis",0.00192632,61.48234,161,2.618638,0.005044334,3.516265e-26,1.48477125322581e-23,16,5.412853,9,1.662709,0.001243437,0.5625,0.05461504,0.499588311390636
"GO:0010661","positive regulation of muscle cell apoptotic process",0.001844084,58.85762,156,2.650464,0.004887677,6.212407e-26,2.5412627384375e-23,19,6.427763,9,1.400176,0.001243437,0.4736842,0.1572176,0.776767530574198
