"ID","name","Binom_Genome_Fraction","Binom_Expected","Binom_Observed_Region_Hits","Binom_Fold_Enrichment","Binom_Region_Set_Coverage","Binom_Raw_PValue","Binom_Adjp_BH","Hyper_Total_Genes","Hyper_Expected","Hyper_Observed_Gene_Hits","Hyper_Fold_Enrichment","Hyper_Gene_Set_Coverage","Hyper_Term_Gene_Coverage","Hyper_Raw_PValue","Hyper_Adjp_BH"
"GO:0048669","collateral sprouting in absence of injury",0.0008050303,19.27242,78,4.047233,0.003258145,7.781208e-24,1.0185601272e-19,2,0.661276,2,3.024456,0.0002827255,1,0.1093111,0.595456637120266
"GO:0002517","T cell tolerance induction",0.0002815899,6.741263,46,6.823647,0.00192147,3.214632e-23,2.103976644e-19,2,0.661276,1,1.512228,0.0001413627,0.5,0.5519649,0.989126583139455
"GO:0035726","common myeloid progenitor cell proliferation",0.0008326148,19.9328,76,3.812812,0.003174603,8.635244e-22,3.76784479866667e-18,8,2.645104,5,1.890285,0.0007068137,0.625,0.08517158,0.595456637120266
"GO:0016322","neuron remodeling",0.001975101,47.28391,126,2.664754,0.005263158,1.772648e-21,5.80099058e-18,13,4.298294,9,2.093854,0.001272265,0.6923077,0.008296128,0.163302730105263
"GO:1903898","negative regulation of PERK-mediated unfolded protein response",0.0003605788,8.632257,49,5.676384,0.002046784,2.537984e-21,6.644442112e-18,3,0.991914,2,2.016304,0.0002827255,0.6666667,0.2556623,0.861646709137965
"GO:0070085","glycosylation",0.02409099,576.7383,809,1.402716,0.03379282,1.411825e-20,3.08013154166667e-17,255,84.31269,104,1.233504,0.01470172,0.4078431,0.005633946,0.127152333
"GO:0032620","interleukin-17 production",0.0003865713,9.254516,48,5.186657,0.002005013,2.233442e-19,4.17653654e-16,5,1.65319,4,2.419565,0.0005654509,0.8,0.0439309,0.413114569683908
"GO:0046627","negative regulation of insulin receptor signaling pathway",0.003671969,87.90694,183,2.081747,0.00764411,4.936888e-19,8.07709432444444e-16,29,9.588502,16,1.668665,0.002261804,0.5517241,0.01156192,0.205353504477612
"GO:0009100","glycoprotein metabolic process",0.03551656,850.2664,1115,1.311354,0.04657477,5.553388e-19,8.07709432444444e-16,318,105.1429,135,1.283967,0.01908397,0.4245283,0.00026628,0.0134753817297297
"GO:0039702","viral budding via host ESCRT complex",0.000899654,21.53772,74,3.435833,0.003091061,8.033585e-19,1.0515962765e-15,9,2.975742,4,1.344203,0.0005654509,0.4444444,0.3430604,0.874179605995717
"GO:0045819","positive regulation of glycogen catabolic process",0.0003354419,8.030478,44,5.479126,0.001837928,9.329876e-19,1.08538363908333e-15,2,0.661276,2,3.024456,0.0002827255,1,0.1093111,0.595456637120266
"GO:0055083","monovalent inorganic anion homeostasis",0.002143173,51.30757,126,2.455778,0.005263158,9.950041e-19,1.08538363908333e-15,24,7.935312,14,1.764266,0.001979078,0.5833333,0.009526049,0.178388089
"GO:1903897","regulation of PERK-mediated unfolded protein response",0.0005665226,13.56255,57,4.202749,0.002380952,1.392285e-18,1.40192389615385e-15,7,2.314466,4,1.72826,0.0005654509,0.5714286,0.1691449,0.757996145498117
