"ID","name","Binom_Genome_Fraction","Binom_Expected","Binom_Observed_Region_Hits","Binom_Fold_Enrichment","Binom_Region_Set_Coverage","Binom_Raw_PValue","Binom_Adjp_BH","Hyper_Total_Genes","Hyper_Expected","Hyper_Observed_Gene_Hits","Hyper_Fold_Enrichment","Hyper_Gene_Set_Coverage","Hyper_Term_Gene_Coverage","Hyper_Raw_PValue","Hyper_Adjp_BH"
"GO:0044238","primary metabolic process",0.5060814,14620.69,17575,1.202063,0.608342,2.473322e-267,3.237578498e-263,7840,4335.361,5333,1.230117,0.4507649,0.6802296,2.104007e-181,6.8853629075e-178
"GO:0044237","cellular metabolic process",0.5035851,14548.57,17414,1.196956,0.6027691,2.542061e-251,1.6637789245e-247,7645,4227.53,5282,1.249429,0.4464542,0.6909091,3.878808e-205,5.077359672e-201
"GO:0008152","metabolic process",0.5484657,15845.17,18667,1.178087,0.6461405,5.024745e-249,2.192463735e-245,8684,4802.075,5821,1.212184,0.4920125,0.6703132,1.544221e-181,6.73795096333333e-178
"GO:0071704","organic substance metabolic process",0.5299766,15311.02,18119,1.183396,0.627172,6.40122e-244,2.094799245e-240,8229,4550.47,5571,1.224269,0.4708816,0.676996,7.084066e-186,4.636521197e-182
"GO:0044260","cellular macromolecule metabolic process",0.4198781,12130.28,14664,1.208876,0.5075805,6.54351e-198,1.713090918e-194,5948,3289.123,4195,1.275416,0.354577,0.7052791,7.962245e-175,2.084515741e-171
"GO:0043170","macromolecule metabolic process",0.455129,13148.68,15565,1.183769,0.5387677,1.582933e-178,3.45343216166667e-175,6610,3655.196,4548,1.244256,0.3844138,0.6880484,6.332311e-159,1.184142157e-155
"GO:0034641","cellular nitrogen compound metabolic process",0.3108111,8979.332,11088,1.234836,0.3838006,9.121232e-153,1.705670384e-149,4393,2429.24,3147,1.295467,0.2659961,0.7163669,1.909472e-136,2.77722094222222e-133
"GO:0006139","nucleobase-containing compound metabolic process",0.2771507,8006.884,10031,1.252797,0.3472136,2.620738e-149,4.2881825525e-146,3795,2098.558,2747,1.308994,0.2321866,0.7238472,3.3247e-125,2.90135486666667e-122
"GO:0046483","heterocycle metabolic process",0.2844683,8218.289,10250,1.247218,0.354794,2.199162e-148,3.19855895333333e-145,3925,2170.445,2830,1.30388,0.2392021,0.7210191,5.344461e-126,4.997071035e-123
"GO:1901360","organic cyclic compound metabolic process",0.3013453,8705.867,10760,1.235948,0.3724472,2.55457e-147,3.34393213e-144,4156,2298.184,2978,1.295806,0.2517116,0.7165544,8.055496e-128,8.78720355333333e-125
"GO:0006807","nitrogen compound metabolic process",0.3368253,9730.884,11783,1.210887,0.4078574,5.515131e-140,6.56300589e-137,4726,2613.382,3371,1.289899,0.2849294,0.7132882,9.272694e-144,1.51724455575e-140
"GO:0090304","nucleic acid metabolic process",0.2475505,7151.734,9003,1.258855,0.3116303,8.492455e-134,9.26385299583333e-131,3314,1832.575,2400,1.309633,0.2028569,0.7242004,2.580113e-107,1.535167235e-104
"GO:0006725","cellular aromatic compound metabolic process",0.2911195,8410.443,10334,1.228711,0.3577016,5.840235e-132,5.88066739615385e-129,3972,2196.435,2856,1.300289,0.2413997,0.7190332,9.023688e-125,7.382504745e-122
"GO:0009987","cellular process",0.8087012,23363.38,24874,1.064658,0.86099,2.457096e-122,2.29738476e-119,14736,8148.708,8768,1.075999,0.7411039,0.5950054,1.600723e-75,4.02951232115385e-73
"GO:0016070","RNA metabolic process",0.2242362,6478.184,8117,1.252975,0.2809623,2.252408e-112,1.96560138133333e-109,2859,1580.969,2083,1.317546,0.1760629,0.7285764,1.784991e-95,7.0804643e-93
"GO:0010467","gene expression",0.24454,7064.762,8727,1.235286,0.3020768,1.368738e-109,1.11979877625e-106,3161,1747.969,2294,1.31238,0.1938974,0.7257197,1.75659e-103,8.84375503846154e-101
"GO:1901576","organic substance biosynthetic process",0.2899173,8375.711,9993,1.193093,0.3458982,1.159914e-94,8.9313378e-92,3750,2073.674,2688,1.29625,0.2271997,0.7168,2.215785e-113,1.4502312825e-110
"GO:0009058","biosynthetic process",0.2952923,8530.995,10141,1.188724,0.3510211,5.632179e-93,4.09584572833333e-90,3833,2119.571,2747,1.296017,0.2321866,0.716671,3.568204e-116,2.59487724222222e-113
"GO:0044249","cellular biosynthetic process",0.2868266,8286.421,9865,1.190502,0.3414676,7.460296e-91,5.1397512968421e-88,3683,2036.624,2648,1.300191,0.2238188,0.7189791,5.394758e-114,3.71670432736842e-111
"GO:0033554","cellular response to stress",0.1061004,3065.24,4151,1.354217,0.1436829,1.604788e-87,1.050333746e-84,1379,762.559,1012,1.32711,0.08553799,0.7338651,1.545283e-46,2.022775447e-44
"GO:0044271","cellular nitrogen compound biosynthetic process",0.2247323,6492.516,7927,1.220944,0.2743856,5.155579e-87,3.21364424333333e-84,2809,1553.32,2040,1.313316,0.1724284,0.7262371,4.175756e-91,1.561732744e-88
"GO:0080090","regulation of primary metabolic process",0.4201416,12137.89,13752,1.132981,0.4760125,6.054117e-82,3.602199615e-79,5742,3175.209,3754,1.182284,0.317302,0.6537792,2.340957e-73,5.4719869875e-71
"GO:0006996","organelle organization",0.1741927,5032.428,6278,1.247509,0.217307,9.603536e-79,5.46566461913044e-76,2547,1408.439,1775,1.26026,0.1500296,0.6968983,1.828014e-56,2.81514156e-54
"GO:0031323","regulation of cellular metabolic process",0.4240069,12249.56,13823,1.128449,0.4784701,7.575102e-78,4.1315868825e-75,5784,3198.434,3778,1.181203,0.3193306,0.6531812,3.305208e-73,7.45951253793103e-71
