ID	name	Binom_Genome_Fraction	Binom_Expected	Binom_Observed_Region_Hits	Binom_Fold_Enrichment	Binom_Region_Set_Coverage	Binom_Raw_PValue	Binom_Adjp_BH	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0002376	immune system process	0.1782501	16288.67	21405	1.314103	0.2342391	0.0	0.0	2329	1855.187	1965	1.059192	0.1313766	0.8437097	3.309781e-10	2.1245564965365853e-08
GO:0006950	response to stress	0.2452907	22414.91	28829	1.286153	0.3154813	0.0	0.0	3269	2603.953	2735	1.050326	0.1828575	0.8366473	9.347391e-11	6.3403256788144326e-09
GO:0008152	metabolic process	0.6502981	59424.89	66479	1.118706	0.7274926	0.0	0.0	9664	7697.952	7840	1.018453	0.5241693	0.8112583	1.422443e-07	6.097044767752443e-06
GO:0009893	positive regulation of metabolic process	0.3034244	27727.23	33246	1.199038	0.3638174	0.0	0.0	3198	2547.398	2738	1.074822	0.1830581	0.8561601	1.312361e-21	3.924854181590909e-19
GO:0009966	regulation of signal transduction	0.2880999	26326.86	31937	1.213096	0.3494928	0.0	0.0	3040	2421.541	2669	1.102191	0.1784449	0.8779605	1.268853e-37	2.3852623752857143e-34
GO:0009987	cellular process	0.8638668	78941.01	84711	1.073092	0.9270089	0.0	0.0	14773	11767.58	11874	1.009044	0.7938758	0.8037636	1.749698e-06	5.980331423896104e-05
GO:0031325	positive regulation of cellular metabolic process	0.2846421	26010.88	31498	1.210955	0.3446887	0.0	0.0	2970	2365.782	2568	1.085476	0.1716922	0.8646465	9.397781e-26	5.152725007458333e-23
GO:0044237	cellular metabolic process	0.6123062	55953.15	62789	1.122171	0.6871122	0.0	0.0	8847	7047.163	7181	1.018992	0.4801096	0.8116876	6.21539e-07	2.3638241910404628e-05
GO:0044238	primary metabolic process	0.6121081	55935.05	62861	1.123821	0.6879001	0.0	0.0	8934	7116.464	7229	1.015814	0.4833188	0.809156	2.346144e-05	0.0005825077150188679
GO:0044699	single-organism process	0.8143128	74412.72	80261	1.078593	0.8783117	0.0	0.0	12665	10088.43	10344	1.025333	0.6915825	0.816739	8.500768e-23	3.023286651675676e-20
