ID	name	Binom_Genome_Fraction	Binom_Expected	Binom_Observed_Region_Hits	Binom_Fold_Enrichment	Binom_Region_Set_Coverage	Binom_Raw_PValue	Binom_Adjp_BH	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0009987	cellular process	0.8638668	78941.01	84711	1.073092	0.9270089	0.0	0.0	14773	11767.58	11874	1.009044	0.7938758	0.8037636	1.749698e-06	5.980331423896104e-05
GO:0044699	single-organism process	0.8143128	74412.72	80261	1.078593	0.8783117	0.0	0.0	12665	10088.43	10344	1.025333	0.6915825	0.816739	8.500768e-23	3.023286651675676e-20
GO:0065007	biological regulation	0.765679	69968.51	76028	1.086603	0.8319891	0.0	0.0	11658	9286.292	9501	1.023121	0.635221	0.8149768	8.898809e-16	1.1291679696730769e-13
GO:0050789	regulation of biological process	0.7427169	67870.21	73802	1.087399	0.8076296	0.0	0.0	11037	8791.629	8990	1.022564	0.6010564	0.8145329	1.937695e-13	1.7584916210344827e-11
GO:0050794	regulation of cellular process	0.7205936	65848.56	71725	1.089242	0.7849006	0.0	0.0	10477	8345.555	8533	1.02246	0.5705021	0.8144507	4.897944e-12	4.0465964645000005e-10
GO:0044763	single-organism cellular process	0.7081132	64708.09	71408	1.10354	0.7814316	0.0	0.0	9965	7937.717	8316	1.047656	0.5559938	0.8345208	3.958635e-43	1.0418335593e-39
GO:0008152	metabolic process	0.6502981	59424.89	66479	1.118706	0.7274926	0.0	0.0	9664	7697.952	7840	1.018453	0.5241693	0.8112583	1.422443e-07	6.097044767752443e-06
GO:0071704	organic substance metabolic process	0.6372781	58235.11	65121	1.118243	0.7126317	0.0	0.0	9327	7429.512	7566	1.018371	0.5058501	0.8111933	4.05344e-07	1.6017782870870872e-05
GO:0044237	cellular metabolic process	0.6123062	55953.15	62789	1.122171	0.6871122	0.0	0.0	8847	7047.163	7181	1.018992	0.4801096	0.8116876	6.21539e-07	2.3638241910404628e-05
GO:0044238	primary metabolic process	0.6121081	55935.05	62861	1.123821	0.6879001	0.0	0.0	8934	7116.464	7229	1.015814	0.4833188	0.809156	2.346144e-05	0.0005825077150188679
GO:0050896	response to stimulus	0.569614	52051.9	59173	1.136808	0.6475416	0.0	0.0	7718	6147.847	6341	1.031418	0.4239487	0.8215859	4.804889e-13	4.187253930529801e-11
GO:0032501	multicellular organismal process	0.5620511	51360.79	54028	1.051931	0.5912389	2.081256e-71	7.442186876086958e-70	6553	5219.855	5290	1.013438	0.3536806	0.8072638	0.003954425	0.0444754517735042
GO:0043170	macromolecule metabolic process	0.5591263	51093.52	56136	1.098691	0.6143071	1.982957e-250	5.7986069251111105e-248	7605	6057.836	6102	1.00729	0.4079695	0.8023669	0.05330348	0.3108012944130627
GO:0044260	cellular macromolecule metabolic process	0.5221029	47710.29	52694	1.104458	0.5766407	2.19531e-240	5.777616858e-238	6978	5558.393	5588	1.005327	0.3736043	0.8008025	0.1373909	0.5671037807716437
GO:0044707	single-multicellular organism process	0.5160022	47152.8	50525	1.071516	0.5529049	6.4958679999999994e-111	4.0511434602843603e-109	5541	4413.737	4670	1.05806	0.3122284	0.8428082	1.899186e-25	9.9965554296e-23
