ID	name	Binom_Genome_Fraction	Binom_Expected	Binom_Observed_Region_Hits	Binom_Fold_Enrichment	Binom_Region_Set_Coverage	Binom_Raw_PValue	Binom_Adjp_BH	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0005623	cell	0.898121	82071.2	87793	1.069718	0.9607358	0.0	0.0	16433	13089.86	13172	1.006275	0.8806579	0.8015578	5.260979e-06	0.00012121295616
GO:0044464	cell part	0.8978193	82043.63	87765	1.069736	0.9604294	0.0	0.0	16405	13067.56	13154	1.006615	0.8794544	0.8018287	1.994312e-06	4.861331290140845e-05
GO:0005622	intracellular	0.8286551	75723.33	83807	1.106753	0.9171162	0.0	0.0	14472	11527.81	11766	1.020662	0.7866551	0.8130182	4.936513e-24	1.218613494857143e-21
GO:0044424	intracellular part	0.8161994	74585.12	83061	1.11364	0.9089526	0.0	0.0	14132	11256.98	11498	1.021411	0.768737	0.8136145	1.6828280000000002e-23	3.63490848e-21
GO:0043226	organelle	0.791172	72298.09	80499	1.113432	0.8809162	0.0	0.0	13296	10591.06	10808	1.020484	0.7226048	0.8128761	7.688326e-18	8.303392080000001e-16
GO:0043227	membrane-bounded organelle	0.7563244	69113.68	77267	1.11797	0.8455478	0.0	0.0	12319	9812.818	10041	1.023253	0.6713245	0.8150824	3.552614e-18	4.0926113279999997e-16
GO:0043229	intracellular organelle	0.750962	68623.66	77138	1.124073	0.8441361	0.0	0.0	12367	9851.053	10027	1.017861	0.6703884	0.8107868	1.365348e-11	7.86440448e-10
GO:0005737	cytoplasm	0.718849	65689.14	75201	1.144801	0.8229391	0.0	0.0	11263	8971.651	9329	1.039831	0.6237213	0.8282873	1.402856e-39	2.4241351680000003e-36
GO:0043231	intracellular membrane-bounded organelle	0.6843317	62534.91	70241	1.123229	0.7686609	0.0	0.0	10646	8480.174	8637	1.018493	0.5774554	0.8112906	5.758542e-09	1.9511295247058826e-07
GO:0016020	membrane	0.6476204	59180.2	63426	1.071744	0.694083	1.861037e-194	1.1089213572413792e-192	9041	7201.696	7364	1.022537	0.4923447	0.8145117	2.079062e-09	7.994446079999999e-08
GO:0044444	cytoplasmic part	0.6137674	56086.68	66517	1.185968	0.7279084	0.0	0.0	9360	7455.798	7756	1.040264	0.5185532	0.8286325	6.747919000000001e-28	2.3320808064e-25
GO:0044422	organelle part	0.5980191	54647.58	63480	1.161625	0.6946739	0.0	0.0	9078	7231.168	7404	1.023901	0.4950191	0.8155981	1.930756e-10	9.532418194285714e-09
GO:0044446	intracellular organelle part	0.5859578	53545.41	62387	1.165123	0.682713	0.0	0.0	8863	7059.908	7222	1.02296	0.4828508	0.8148482	2.081887e-09	7.994446079999999e-08
GO:0044425	membrane part	0.5258765	48055.12	49089	1.021514	0.5371904	3.717376e-12	2.6877095096234307e-11	6581	5242.159	5343	1.019237	0.357224	0.8118827	6.440547e-05	0.001021033506055
GO:0005634	nucleus	0.5081718	46437.24	52101	1.121966	0.5701513	7.756834e-309	6.3827662628571416e-307	7109	5662.742	5660	0.9995157	0.3784181	0.7961739	0.5485763	1.0
