ID	name	Binom_Genome_Fraction	Binom_Expected	Binom_Observed_Region_Hits	Binom_Fold_Enrichment	Binom_Region_Set_Coverage	Binom_Raw_PValue	Binom_Adjp_BH	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0005488	binding	0.850433	77713.41	84299	1.084742	0.9225003	0.0	0.0	14398	11468.87	11726	1.02242	0.7839807	0.8144187	2.397933e-27	5.062036563e-24
GO:0005515	protein binding	0.7330151	66983.66	75496	1.127081	0.8261674	0.0	0.0	11170	8897.571	9252	1.039834	0.6185732	0.8282901	7.395433e-39	3.1223518126000005e-35
GO:0003824	catalytic activity	0.4365299	39890.54	45592	1.142928	0.4989221	3.543503e-314	4.9868898886584e-311	5832	4645.536	4874	1.049179	0.3258675	0.8357339	6.296139e-20	6.645574714500001e-17
GO:0019899	enzyme binding	0.167684	15323.13	19029	1.241848	0.208238	4.897564e-223	5.169378802e-220	1895	1509.48	1618	1.071892	0.1081768	0.8538259	8.518579e-12	1.4985600224166664e-09
GO:0097159	organic cyclic compound binding	0.4471765	40863.43	45335	1.109427	0.4961097	9.821049e-194	8.2928937756e-191	6009	4786.527	4836	1.010336	0.3233269	0.8047928	0.02826491	0.3729400788749999
GO:1901363	heterocyclic compound binding	0.4422906	40416.96	44765	1.10758	0.4898721	1.315742e-183	9.258437873333332e-181	5925	4719.616	4762	1.00898	0.3183794	0.8037131	0.05089161	0.5709048871354166
GO:0043168	anion binding	0.2346044	21438.39	25081	1.169911	0.2744662	7.785177e-172	4.695573899142857e-169	2698	2149.118	2342	1.089749	0.1565822	0.8680504	1.551385e-25	2.183315823333333e-22
GO:0043167	ion binding	0.4862315	44432.32	48595	1.093686	0.5317845	2.621518e-167	1.3835061245e-164	6102	4860.607	5074	1.043903	0.3392392	0.8315306	3.6382770000000006e-17	2.1944007848571428e-14
GO:0036094	small molecule binding	0.1985852	18146.92	21258	1.171439	0.2326304	2.536415e-141	1.1898604588888887e-138	2376	1892.626	2041	1.078396	0.1364578	0.8590067	2.894819e-17	2.1944007848571428e-14
GO:0032403	protein complex binding	0.06653735	6080.25	7974	1.311459	0.08726103	3.4220170000000003e-128	1.4447755773999998e-125	783	623.7062	687	1.10148	0.04593167	0.8773946	8.869106e-10	1.1347080464242425e-07
GO:0042802	identical protein binding	0.1455925	13304.39	15895	1.194718	0.1739421	2.1725609999999997e-124	8.338684129090909e-122	1603	1276.885	1375	1.076839	0.0919302	0.8577667	2.383528e-11	3.8704827753846155e-09
GO:1901265	nucleoside phosphate binding	0.1781988	16283.99	19001	1.166852	0.2079316	1.910311e-117	6.721110868333332e-115	2110	1680.741	1807	1.075121	0.120813	0.8563981	3.629199e-14	1.387363977e-11
GO:0000166	nucleotide binding	0.1781047	16275.39	18976	1.165932	0.207658	3.956362e-116	1.2849046433846154e-113	2109	1679.944	1806	1.075036	0.1207461	0.85633	3.943242e-14	1.387363977e-11
GO:0008289	lipid binding	0.06172489	5640.482	7355	1.303966	0.08048719	4.1294090000000003e-113	1.2453117712857141e-110	660	525.7293	580	1.103229	0.03877783	0.8787879	1.072035e-08	1.0525887837209302e-06
GO:0016787	hydrolase activity	0.1938115	17710.69	20422	1.153089	0.2234819	3.08749e-110	8.690255186666667e-108	2532	2016.889	2066	1.02435	0.1381293	0.8159558	0.004622195	0.09784290788
GO:0019900	kinase binding	0.06314593	5770.339	7453	1.291605	0.08155962	3.902129e-107	1.029674289875e-104	649	516.9672	570	1.102584	0.03810925	0.8782743	1.764449e-08	1.6554452617777777e-06
GO:0044877	macromolecular complex binding	0.1214318	11096.56	13267	1.195596	0.1451834	5.536174e-102	1.3749250957647055e-99	1380	1099.252	1162	1.057082	0.07768938	0.842029	4.471248e-06	0.0002483895928421053
GO:0003779	actin binding	0.04016415	3670.24	4977	1.356042	0.05446428	1.875024e-97	4.39797296e-95	402	320.217	361	1.127361	0.02413586	0.89801	2.769784e-08	2.5421800104347825e-06
GO:0008092	cytoskeletal protein binding	0.08188385	7482.628	9274	1.239404	0.1014872	3.002158e-97	6.671111092631579e-95	860	685.0413	769	1.12256	0.05141405	0.894186	4.041448e-15	2.132874182e-12
GO:0001883	purine nucleoside binding	0.1568276	14331.06	16672	1.163347	0.1824449	7.223737e-97	1.5249308806999998e-94	1834	1460.89	1573	1.076741	0.1051681	0.8576881	7.428128e-13	1.5680778208e-10
GO:0035639	purine ribonucleoside triphosphate binding	0.1560156	14256.86	16584	1.163229	0.1814819	3.789873e-96	7.619449431428573e-94	1822	1451.332	1565	1.07832	0.1046333	0.8589462	2.953841e-13	8.907940501428571e-11
GO:0032550	purine ribonucleoside binding	0.1567309	14322.23	16653	1.162738	0.182237	4.157893e-96	7.979374657272728e-94	1831	1458.501	1571	1.077134	0.1050344	0.8580011	5.912134e-13	1.3867238748888888e-10
GO:0001882	nucleoside binding	0.1571869	14363.9	16695	1.162289	0.1826966	6.319585e-96	1.1600559943478262e-93	1841	1466.466	1580	1.07742	0.1056362	0.8582292	4.131417e-13	1.090177660875e-10
GO:0032549	ribonucleoside binding	0.1568856	14336.36	16661	1.16215	0.1823246	1.4904660000000001e-95	2.621978105e-93	1834	1460.89	1574	1.077425	0.105235	0.8582334	4.595352e-13	1.1412691849411763e-10
GO:0045296	cadherin binding	0.02695486	2463.162	3528	1.432305	0.03860759	3.3317350000000003e-93	5.626634068e-91	304	242.1541	261	1.077826	0.01745002	0.8585526	0.003148981	0.0710962448235294
GO:0098772	molecular function regulator	0.1433298	13097.62	15288	1.167235	0.1672995	2.7796749999999997e-91	4.513764557692308e-89	1453	1157.401	1234	1.066182	0.08250318	0.8492774	4.902902e-08	4.312510884166666e-06
GO:0008134	transcription factor binding	0.06007044	5489.297	6999	1.275027	0.07659141	4.6141549999999996e-91	7.215171262962963e-89	531	422.9732	455	1.075718	0.03042054	0.8568738	0.0001729843	0.0067624047648148
GO:0017076	purine nucleotide binding	0.1621175	14814.46	17104	1.154547	0.1871724	1.4132729999999999e-90	2.131013787857143e-88	1878	1495.939	1611	1.076916	0.1077088	0.8578275	3.316512e-13	9.334875776e-11
GO:0097367	carbohydrate derivative binding	0.1930119	17637.62	20077	1.138306	0.2197065	3.2086839999999997e-90	4.671401326896552e-88	2191	1745.262	1888	1.081786	0.1262285	0.861707	3.2240090000000003e-17	2.1944007848571428e-14
GO:0032553	ribonucleotide binding	0.163401	14931.74	17215	1.152913	0.1883871	1.407637e-89	1.9810144713333328e-87	1881	1498.329	1618	1.07987	0.1081768	0.8601808	3.611463e-14	1.387363977e-11
GO:0032555	purine ribonucleotide binding	0.1616087	14767.96	17041	1.153917	0.186483	1.543039e-89	2.101519567096774e-87	1866	1486.38	1603	1.078459	0.1071739	0.8590568	1.313845e-13	4.2669643e-11
