ID	name	Binom_Genome_Fraction	Binom_Expected	Binom_Observed_Region_Hits	Binom_Fold_Enrichment	Binom_Region_Set_Coverage	Binom_Raw_PValue	Binom_Adjp_BH	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0009987	cellular process	0.8638668	37091.85	40397	1.089107	0.9408436	0.0	0.0	14773	8989.524	9203	1.023747	0.8054437	0.6229608	5.119674e-15	3.048406794841629e-13
GO:0044699	single-organism process	0.8143128	34964.15	38432	1.099183	0.8950788	0.0	0.0	12665	7706.784	8147	1.057121	0.7130229	0.6432689	1.1265729999999998e-44	6.44546700304348e-42
GO:0065007	biological regulation	0.765679	32875.96	36801	1.119389	0.857093	0.0	0.0	11658	7094.014	7417	1.045529	0.6491336	0.6362155	1.7364330000000002e-23	2.0963047566055044e-21
GO:0050789	regulation of biological process	0.7427169	31890.03	35759	1.121322	0.8328248	0.0	0.0	11037	6716.129	6997	1.04182	0.6123753	0.6339585	8.988863e-18	7.212466354695121e-16
GO:0050794	regulation of cellular process	0.7205936	30940.13	34827	1.125626	0.8111186	0.0	0.0	10477	6375.364	6641	1.041666	0.5812183	0.6338647	7.484086e-16	4.9738933168686874e-14
GO:0044763	single-organism cellular process	0.7081132	30404.26	34397	1.131322	0.8011039	0.0	0.0	9965	6063.806	6654	1.097331	0.582356	0.6677371	3.207001e-70	4.2200926159e-66
GO:0008152	metabolic process	0.6502981	27921.85	32031	1.147166	0.746	0.0	0.0	9664	5880.645	6103	1.037811	0.5341327	0.631519	1.597655e-11	6.961437796357616e-10
GO:0071704	organic substance metabolic process	0.6372781	27362.81	31424	1.14842	0.731863	0.0	0.0	9327	5675.577	5890	1.03778	0.515491	0.6314999	7.827608e-11	3.130805278784194e-09
GO:0044237	cellular metabolic process	0.6123062	26290.59	30503	1.160225	0.7104129	0.0	0.0	8847	5383.492	5606	1.041332	0.4906354	0.6336611	1.424539e-11	6.311619091245791e-10
GO:0044238	primary metabolic process	0.6121081	26282.08	30555	1.162579	0.711624	0.0	0.0	8934	5436.432	5628	1.035238	0.4925608	0.629953	5.234227e-09	1.663700316256039e-07
GO:0050896	response to stimulus	0.569614	24457.52	28366	1.159807	0.6606423	0.0	0.0	7718	4696.483	4988	1.062071	0.4365482	0.6462814	3.900385e-19	3.564247653819444e-17
GO:0032501	multicellular organismal process	0.5620511	24132.79	26858	1.112926	0.6255211	3.588627e-157	3.9352285577500005e-155	6553	3987.569	4313	1.081611	0.3774724	0.6581718	6.845702000000001e-25	9.583254533829789e-23
GO:0043170	macromolecule metabolic process	0.5591263	24007.21	27144	1.130661	0.632182	1.397805e-207	2.919637459523809e-205	7605	4627.722	4725	1.021021	0.4135305	0.6213018	0.001591754	0.0148869160525941
GO:0044260	cellular macromolecule metabolic process	0.5221029	22417.53	25800	1.150885	0.6008804	1.523011e-236	4.6607678486046516e-234	6978	4246.186	4350	1.024449	0.3807107	0.6233878	0.0006883911	0.0072179589521115
GO:0044707	single-multicellular organism process	0.5160022	22155.59	25251	1.139713	0.5880942	7.473823e-198	1.3851836177042255e-195	5541	3371.756	3888	1.153108	0.3402766	0.7016784	7.931669000000001e-66	1.7395472061833333e-62
