ID	name	Binom_Genome_Fraction	Binom_Expected	Binom_Observed_Region_Hits	Binom_Fold_Enrichment	Binom_Region_Set_Coverage	Binom_Raw_PValue	Binom_Adjp_BH	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0005622	intracellular	0.8286551	35579.96	40216	1.130299	0.9366281	0.0	0.0	14472	8806.363	9159	1.040043	0.8015929	0.6328773	7.730086999999999e-36	3.3393975840000004e-33
GO:0005623	cell	0.898121	38562.62	41637	1.079724	0.9697231	0.0	0.0	16433	9999.652	10131	1.013135	0.886662	0.6165034	2.009548e-09	6.313634443636364e-08
GO:0005737	cytoplasm	0.718849	30865.22	36004	1.166491	0.8385309	0.0	0.0	11263	6853.653	7398	1.079424	0.6474707	0.656841	6.3585030000000005e-62	1.0987493184000001e-58
GO:0005829	cytosol	0.3616374	15527.62	20119	1.295691	0.4685702	0.0	0.0	4901	2982.31	3257	1.092107	0.2850516	0.6645583	2.860042e-21	3.8016558276923083e-19
GO:0043226	organelle	0.791172	33970.55	38804	1.142283	0.9037427	0.0	0.0	13296	8090.754	8380	1.03575	0.733415	0.6302647	1.543023e-21	2.4239488581818183e-19
GO:0043227	membrane-bounded organelle	0.7563244	32474.3	37226	1.146322	0.8669912	0.0	0.0	12319	7496.24	7777	1.037453	0.6806406	0.6313012	6.890072999999999e-19	7.003556555294118e-17
GO:0043229	intracellular organelle	0.750962	32244.06	37352	1.158415	0.8699257	0.0	0.0	12367	7525.448	7774	1.033028	0.6803781	0.6286084	3.012978e-15	2.740224202105263e-13
GO:0043231	intracellular membrane-bounded organelle	0.6843317	29383.15	34069	1.159474	0.7934648	0.0	0.0	10646	6478.202	6708	1.035473	0.5870821	0.6300958	2.353385e-12	1.0990944e-10
GO:0044422	organelle part	0.5980191	25677.15	31093	1.210921	0.724154	0.0	0.0	9078	5524.058	5880	1.064435	0.5146158	0.6477198	9.175978000000001e-27	3.1712179968e-24
GO:0044424	intracellular part	0.8161994	35045.15	39934	1.139501	0.9300603	0.0	0.0	14132	8599.469	8965	1.042506	0.784614	0.6343759	1.509465e-36	8.6945184e-34
