ID	name	Binom_Genome_Fraction	Binom_Expected	Binom_Observed_Region_Hits	Binom_Fold_Enrichment	Binom_Region_Set_Coverage	Binom_Raw_PValue	Binom_Adjp_BH	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0005623	cell	0.898121	38562.62	41637	1.079724	0.9697231	0.0	0.0	16433	9999.652	10131	1.013135	0.886662	0.6165034	2.009548e-09	6.313634443636364e-08
GO:0044464	cell part	0.8978193	38549.67	41631	1.079931	0.9695833	0.0	0.0	16405	9982.613	10118	1.013562	0.8855242	0.6167632	8.012921e-10	2.7692654976e-08
GO:0005622	intracellular	0.8286551	35579.96	40216	1.130299	0.9366281	0.0	0.0	14472	8806.363	9159	1.040043	0.8015929	0.6328773	7.730086999999999e-36	3.3393975840000004e-33
GO:0044424	intracellular part	0.8161994	35045.15	39934	1.139501	0.9300603	0.0	0.0	14132	8599.469	8965	1.042506	0.784614	0.6343759	1.509465e-36	8.6945184e-34
GO:0043226	organelle	0.791172	33970.55	38804	1.142283	0.9037427	0.0	0.0	13296	8090.754	8380	1.03575	0.733415	0.6302647	1.543023e-21	2.4239488581818183e-19
GO:0043227	membrane-bounded organelle	0.7563244	32474.3	37226	1.146322	0.8669912	0.0	0.0	12319	7496.24	7777	1.037453	0.6806406	0.6313012	6.890072999999999e-19	7.003556555294118e-17
GO:0043229	intracellular organelle	0.750962	32244.06	37352	1.158415	0.8699257	0.0	0.0	12367	7525.448	7774	1.033028	0.6803781	0.6286084	3.012978e-15	2.740224202105263e-13
GO:0005737	cytoplasm	0.718849	30865.22	36004	1.166491	0.8385309	0.0	0.0	11263	6853.653	7398	1.079424	0.6474707	0.656841	6.3585030000000005e-62	1.0987493184000001e-58
GO:0043231	intracellular membrane-bounded organelle	0.6843317	29383.15	34069	1.159474	0.7934648	0.0	0.0	10646	6478.202	6708	1.035473	0.5870821	0.6300958	2.353385e-12	1.0990944e-10
GO:0016020	membrane	0.6476204	27806.88	29442	1.058803	0.6857023	1.2692850000000001e-62	4.666647829787234e-61	9041	5501.543	5728	1.041163	0.5013128	0.6335582	6.666574e-12	2.9538050953846156e-10
GO:0044444	cytoplasmic part	0.6137674	26353.33	31825	1.207627	0.7412022	0.0	0.0	9360	5695.657	6155	1.080648	0.5386837	0.6575855	3.114052e-43	2.690540928e-40
GO:0044422	organelle part	0.5980191	25677.15	31093	1.210921	0.724154	0.0	0.0	9078	5524.058	5880	1.064435	0.5146158	0.6477198	9.175978000000001e-27	3.1712179968e-24
GO:0044446	intracellular organelle part	0.5859578	25159.27	30618	1.216967	0.7130913	0.0	0.0	8863	5393.228	5733	1.063	0.5017504	0.6468464	1.3056100000000001e-24	2.8201176000000003e-22
GO:0005634	nucleus	0.5081718	21819.37	25695	1.177623	0.5984349	7.682224e-309	8.29680192e-307	7109	4325.901	4362	1.008345	0.3817609	0.6135884	0.1362235	0.5688860563245823
GO:0071944	cell periphery	0.4560998	19583.56	20388	1.041077	0.4748352	3.565677e-15	3.3854339868131875e-14	5196	3161.82	3334	1.054456	0.2917907	0.6416474	4.283336e-09	1.3217151085714286e-07
