ID	name	Binom_Genome_Fraction	Binom_Expected	Binom_Observed_Region_Hits	Binom_Fold_Enrichment	Binom_Region_Set_Coverage	Binom_Raw_PValue	Binom_Adjp_BH	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0005488	binding	0.850433	36515.04	40206	1.101081	0.9363952	0.0	0.0	14398	8761.333	9082	1.0366	0.7948538	0.6307821	1.132573e-29	2.3908616030000003e-26
GO:0005515	protein binding	0.7330151	31473.47	36458	1.158372	0.8491045	0.0	0.0	11170	6797.061	7311	1.075612	0.6398565	0.654521	3.14412e-55	1.3274474640000001e-51
GO:0043167	ion binding	0.4862315	20877.32	23317	1.116858	0.5430514	5.91875e-123	1.7849258928571428e-120	6102	3713.131	3937	1.060291	0.344565	0.6451983	4.218351e-13	4.343872663902439e-11
GO:0097159	organic cyclic compound binding	0.4471765	19200.42	22462	1.16987	0.5231386	1.080826e-218	1.5210824573333334e-215	6009	3656.539	3706	1.013527	0.324348	0.6167416	0.0582156	0.488640682306163
GO:1901363	heterocyclic compound binding	0.4422906	18990.63	22190	1.168471	0.5168037	8.814024e-211	9.303202332e-208	5925	3605.424	3648	1.011809	0.3192718	0.6156962	0.08785767	0.6095754797044335
GO:0003824	catalytic activity	0.4365299	18743.28	21302	1.136514	0.4961222	4.895742e-136	2.0669822723999998e-133	5832	3548.833	3847	1.084018	0.3366883	0.6596365	2.0875750000000001e-22	1.2591059499999998e-19
GO:0043169	cation binding	0.3590499	15416.52	16835	1.09201	0.3920861	6.4503999999999995e-46	3.890512685714286e-44	4186	2547.225	2642	1.037207	0.231227	0.6311515	0.0003434511	0.0082389235465909
GO:0046872	metal ion binding	0.3501715	15035.31	16630	1.106063	0.3873116	5.660168e-58	5.557495185116279e-56	4096	2492.459	2586	1.03753	0.2263259	0.6313477	0.0003668342	0.0086523686726256
GO:0003676	nucleic acid binding	0.3103826	13326.9	15487	1.162086	0.3606912	9.768205e-110	2.2911867505555552e-107	4032	2453.514	2334	0.9512886	0.204271	0.578869	0.9999934	1.0
GO:0043168	anion binding	0.2346044	10073.21	12267	1.217785	0.2856977	6.110811e-132	1.984603387846154e-129	2698	1641.761	1889	1.150594	0.1653247	0.7001483	6.907066e-27	9.720544217333332e-24
GO:0003677	DNA binding	0.214041	9190.28	11134	1.211497	0.2593102	8.687669999999999e-111	2.1576083964705882e-108	2476	1506.672	1458	0.9676958	0.1276037	0.588853	0.984952	1.0
GO:0016740	transferase activity	0.2132733	9157.317	10260	1.120415	0.2389547	7.471767e-38	3.645060788275863e-36	2404	1462.859	1643	1.123143	0.1437949	0.6834443	2.101682e-16	3.697208918333333e-14
GO:0036094	small molecule binding	0.1985852	8526.653	10107	1.185342	0.2353914	2.2696509999999997e-78	2.903777733939394e-76	2376	1445.821	1630	1.127387	0.1426571	0.6860269	3.09914e-17	6.8866153052631584e-15
GO:0016787	hydrolase activity	0.1938115	8321.686	9262	1.112996	0.2157114	5.251202e-30	2.015506804e-28	2532	1540.748	1584	1.028072	0.1386312	0.6255924	0.03043126	0.3283153753652392
GO:0097367	carbohydrate derivative binding	0.1930119	8287.35	9621	1.160926	0.2240725	7.046308e-58	6.761252812727271e-56	2191	1333.246	1504	1.128074	0.1316296	0.6864445	4.973466e-16	8.076143635384615e-14
