ID	name	Binom_Genome_Fraction	Binom_Expected	Binom_Observed_Region_Hits	Binom_Fold_Enrichment	Binom_Region_Set_Coverage	Binom_Raw_PValue	Binom_Adjp_BH	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0034660	ncRNA metabolic process	0.0305195	760.4543	1255	1.650329	0.05036722	9.250430999999999e-63	1.2172642152900001e-58	555	288.185	368	1.276957	0.03774359	0.6630631	2.403654e-12	1.757204610333333e-10
GO:0007005	mitochondrion organization	0.03487868	869.072	1322	1.521163	0.05305615	3.190617e-48	1.6216879647333332e-44	540	280.3962	353	1.258933	0.03620513	0.6537037	1.011962e-10	5.595129394117647e-09
GO:0006401	RNA catabolic process	0.01408922	351.0611	654	1.862924	0.02624714	3.697138e-48	1.6216879647333332e-44	241	125.1398	173	1.382454	0.01774359	0.7178423	1.932823e-10	1.0216288237751004e-08
GO:0006396	RNA processing	0.06062086	1510.49	2083	1.379023	0.08359754	2.17389e-47	7.151554627499999e-44	893	463.6923	583	1.257299	0.05979487	0.6528555	9.564121e-17	1.3109819608229166e-14
GO:0034641	cellular nitrogen compound metabolic process	0.380459	9479.897	10579	1.11594	0.4245696	2.578264e-46	6.785475195200001e-43	5172	2685.573	3020	1.124527	0.3097436	0.5839134	3.6777870000000002e-28	1.7284285404642856e-25
GO:0000956	nuclear-transcribed mRNA catabolic process	0.01091331	271.927	535	1.96744	0.02147128	8.813675e-46	1.9329858220833328e-42	198	102.812	148	1.439521	0.01517949	0.7474747	2.981506e-11	1.8333475445794395e-09
GO:0033554	cellular response to stress	0.1263306	3147.779	3910	1.242146	0.156921	2.760932e-45	5.1901577411428566e-42	1590	825.6111	1024	1.240293	0.1050256	0.6440252	6.374768e-26	2.2671776246486485e-23
GO:0006402	mRNA catabolic process	0.01206864	300.7143	573	1.905463	0.02299635	4.993639e-45	8.213911950125e-42	213	110.6007	155	1.401437	0.01589744	0.7276995	3.258424e-10	1.668389160155642e-08
GO:0034470	ncRNA processing	0.02131152	531.0192	877	1.651541	0.03519685	4.2414149999999997e-44	6.201419998333332e-41	396	205.6239	267	1.298487	0.02738462	0.6742424	1.907041e-10	1.0159818833603241e-08
GO:0030968	endoplasmic reticulum unfolded protein response	0.006560078	163.4575	364	2.226879	0.0146085	5.714288e-42	7.519431579200001e-39	114	59.19476	80	1.351471	0.008205128	0.7017544	5.334926e-05	0.0010369614657902
GO:0035966	response to topologically incorrect protein	0.01087519	270.977	520	1.918982	0.02086929	9.222373999999999e-42	1.1032474496909091e-38	180	93.46541	125	1.337393	0.01282051	0.6944444	1.186e-06	3.320547659574468e-05
GO:0035967	cellular response to topologically incorrect protein	0.008152827	203.144	420	2.067499	0.01685596	7.120675e-41	7.808413527083332e-38	139	72.17607	96	1.330081	0.009846154	0.6906475	2.816132e-05	0.000591972539744409
GO:0016072	rRNA metabolic process	0.01336385	332.987	598	1.795866	0.02399968	9.521148e-40	9.637598964e-37	259	134.4863	184	1.368169	0.01887179	0.7104247	2.132499e-10	1.1135537436904762e-08
GO:0044265	cellular macromolecule catabolic process	0.06140191	1529.951	2050	1.339912	0.08227315	2.2267570000000003e-39	2.0816151918666668e-36	854	443.4414	559	1.260595	0.05733333	0.6545667	1.967455e-16	2.5382098377450975e-14
GO:0006139	nucleobase-containing compound metabolic process	0.3453542	8605.19	9595	1.115025	0.3850785	2.372842e-39	2.0816151918666668e-36	4564	2369.867	2664	1.124114	0.2732308	0.5836985	6.16351e-24	1.802347290888889e-21
GO:0016071	mRNA metabolic process	0.04632605	1154.306	1611	1.395644	0.06465465	5.3220380000000004e-39	4.377043627625e-36	659	342.1873	434	1.268311	0.04451282	0.6585736	1.252725e-13	1.0774253774509804e-11
GO:0006364	rRNA processing	0.0129454	322.5606	580	1.798112	0.02327728	9.839176000000001e-39	7.616100999058822e-36	252	130.8516	179	1.367962	0.01835897	0.7103175	3.814872e-10	1.9382201022393823e-08
GO:0072367	regulation of lipid transport by regulation of transcription from RNA polymerase II promoter	0.0002106931	5.24984	57	10.85747	0.002287595	1.5093339999999998e-38	1.1034070058888888e-35	4	2.077009	4	1.925846	0.0004102564	1.0	0.07267502	0.3428142509924758
GO:0044237	cellular metabolic process	0.6123062	15256.83	16236	1.064179	0.6516033	7.047326999999999e-38	4.880830315421052e-35	8847	4593.825	5090	1.108009	0.5220513	0.5753363	4.515109e-48	1.980477311033333e-44
GO:0046483	heterocycle metabolic process	0.3564756	8882.304	9846	1.108496	0.3951519	5.848515e-37	3.84803044425e-34	4738	2460.217	2755	1.11982	0.2825641	0.581469	1.7651080000000001e-23	4.941926845106383e-21
GO:0044403	symbiosis, encompassing mutualism through parasitism	0.04986429	1242.469	1694	1.363415	0.06798571	5.093904e-36	3.191937273142857e-33	689	357.7648	462	1.291351	0.04738462	0.670537	1.814967e-16	2.3646683913861387e-14
GO:0044419	interspecies interaction between organisms	0.04997941	1245.337	1694	1.360274	0.06798571	1.528233e-35	9.140917294090908e-33	691	358.8033	462	1.287613	0.04738462	0.6685962	3.96015e-16	4.9161899858490566e-14
GO:0006839	mitochondrial transport	0.0153724	383.0341	647	1.689145	0.02596621	1.999895e-35	1.1442007958695651e-32	239	124.1013	162	1.305385	0.01661538	0.6778243	4.073678e-07	1.2323110069425288e-05
GO:0010608	posttranscriptional regulation of gene expression	0.03969186	989.002	1391	1.406468	0.05582534	4.194289e-35	2.2996937062916663e-32	557	289.2235	371	1.282745	0.03805128	0.6660682	7.611281e-13	5.961717064226191e-11
GO:0034976	response to endoplasmic reticulum stress	0.01728898	430.7896	707	1.641172	0.0283742	5.548387e-35	2.9204489813200003e-32	244	126.6976	174	1.373349	0.01784615	0.7131148	4.049567e-10	2.0261692833840304e-08
GO:0034620	cellular response to unfolded protein	0.007365852	183.5349	372	2.026862	0.01492957	1.0158779999999999e-34	5.141514846923077e-32	121	62.82953	85	1.352867	0.008717949	0.7024793	2.965034e-05	0.000614439093007874
GO:0006986	response to unfolded protein	0.01004239	250.2261	466	1.862316	0.01870209	1.127218e-34	5.493726541481482e-32	160	83.08036	113	1.360129	0.01158974	0.70625	1.014677e-06	2.8591294738758032e-05
GO:0046907	intracellular transport	0.1002658	2498.324	3097	1.239631	0.1242927	1.322924e-34	6.217270327142858e-32	1321	685.9323	853	1.243563	0.08748718	0.6457229	4.390827e-22	1.0901677828867926e-19
GO:0016073	snRNA metabolic process	0.004095847	102.0562	248	2.430033	0.009953044	1.57098e-34	7.128457179310345e-32	86	44.6557	64	1.433188	0.006564103	0.744186	1.545271e-05	0.00034175161494117643
GO:0098781	ncRNA transcription	0.004966593	123.7526	281	2.270659	0.01127744	4.1945319999999996e-34	1.8398615529333332e-31	92	47.77121	69	1.444385	0.007076923	0.75	4.537426e-06	0.00011308331199621212
GO:0044238	primary metabolic process	0.6121081	15251.9	16171	1.060262	0.6489947	1.418048e-33	6.0193850425806465e-31	8934	4639.0	5082	1.095495	0.5212308	0.5688381	1.1298939999999999e-38	9.912183430666668e-36
GO:0006974	cellular response to DNA damage stimulus	0.05419966	1350.493	1801	1.333587	0.07227997	1.4840910000000001e-33	6.1028604590624995e-31	740	384.2467	487	1.267415	0.04994872	0.6581081	4.567154e-15	4.807934358880002e-13
GO:0016032	viral process	0.04480791	1116.479	1526	1.366797	0.06124333	6.323731e-33	2.5216356433030304e-30	623	323.4942	419	1.295232	0.04297436	0.6725522	2.292354e-15	2.5137571905000003e-13
GO:0044764	multi-organism cellular process	0.04560495	1136.339	1549	1.36315	0.06216639	6.542129000000001e-33	2.5319963385588237e-30	635	329.7252	425	1.288952	0.04358974	0.6692913	4.8274e-15	5.001870598425197e-13
GO:0072369	regulation of lipid transport by positive regulation of transcription from RNA polymerase II promoter	9.909263e-05	2.469091	39	15.79529	0.001565196	8.776793e-33	3.2998234024857145e-30	2	1.038505	2	1.925846	0.0002051282	1.0	0.2696096	0.6955092582630857
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	0.005438963	135.5226	295	2.176758	0.01183931	1.032218e-32	3.773043517222222e-30	118	61.27177	91	1.485186	0.009333333	0.7711864	1.362156e-08	5.431700243636364e-07
GO:0019439	aromatic compound catabolic process	0.02850395	710.233	1042	1.467124	0.04181884	1.649046e-32	5.864809814594594e-30	415	215.4897	291	1.350413	0.02984615	0.7012048	1.855788e-14	1.822411514328358e-12
GO:0034655	nucleobase-containing compound catabolic process	0.02398558	597.6487	903	1.510921	0.03624032	3.2341980000000003e-32	1.1199687232105262e-29	358	185.8923	251	1.350244	0.02574359	0.7011173	1.195214e-12	9.144081991860463e-11
GO:0090304	nucleic acid metabolic process	0.3108041	7744.305	8610	1.111785	0.3455472	4.436877e-32	1.4970478062307693e-29	4010	2082.202	2335	1.121409	0.2394872	0.5822943	1.0099409999999999e-19	1.898544802714286e-17
GO:1901361	organic cyclic compound catabolic process	0.03025456	753.8528	1092	1.448559	0.0438255	4.62848e-32	1.522654208e-29	444	230.548	305	1.322935	0.03128205	0.6869369	2.881276e-13	2.36966943025e-11
