ID	name	Binom_Genome_Fraction	Binom_Expected	Binom_Observed_Region_Hits	Binom_Fold_Enrichment	Binom_Region_Set_Coverage	Binom_Raw_PValue	Binom_Adjp_BH	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0009987	cellular process	0.8638668	21524.97	22116	1.027458	0.8875868	2.125648e-29	5.277623024905661e-27	14773	7670.914	7921	1.032602	0.8124103	0.5361809	2.8129969999999996e-19	5.1411427115277777e-17
GO:0008152	metabolic process	0.6502981	16203.48	17055	1.052552	0.6844724	2.175524e-30	5.964108399166666e-28	9664	5018.054	5473	1.090662	0.5613333	0.5663286	1.310057e-40	1.5671854602727271e-37
GO:0071704	organic substance metabolic process	0.6372781	15879.06	16699	1.051637	0.670185	7.785967e-28	1.6795990123442622e-25	9327	4843.066	5302	1.094761	0.5437949	0.5684572	2.894567e-41	4.761200894125e-38
GO:0044237	cellular metabolic process	0.6123062	15256.83	16236	1.064179	0.6516033	7.047326999999999e-38	4.880830315421052e-35	8847	4593.825	5090	1.108009	0.5220513	0.5753363	4.515109e-48	1.980477311033333e-44
GO:0044238	primary metabolic process	0.6121081	15251.9	16171	1.060262	0.6489947	1.418048e-33	6.0193850425806465e-31	8934	4639.0	5082	1.095495	0.5212308	0.5688381	1.1298939999999999e-38	9.912183430666668e-36
GO:0043170	macromolecule metabolic process	0.5591263	13931.75	14384	1.032462	0.5772766	3.894837e-09	1.0611213267701864e-07	7605	3948.914	4345	1.100303	0.445641	0.5713346	2.3660630000000002e-32	1.24540092068e-29
GO:0044260	cellular macromolecule metabolic process	0.5221029	13009.24	13737	1.055942	0.5513104	1.3033319999999999e-20	1.5880134988888891e-18	6978	3623.342	4062	1.121064	0.4166154	0.5821152	1.82937e-40	2.0060566525e-37
GO:0060255	regulation of macromolecule metabolic process	0.4778432	11906.42	12063	1.013151	0.4841273	0.02389316	0.1179332679819955	5942	3085.397	3398	1.101317	0.3485128	0.5718613	4.8276260000000004e-23	1.2456221673333332e-20
GO:0006807	nitrogen compound metabolic process	0.4177657	10409.47	11281	1.083725	0.4527431	3.591074e-29	8.591807775636362e-27	5667	2942.603	3286	1.116699	0.3370256	0.5798482	4.1240820000000005e-28	1.8713377599310344e-25
GO:0009058	biosynthetic process	0.3849155	9590.939	9935	1.035874	0.3987238	4.023817e-06	6.128403692476852e-05	4832	2509.027	2826	1.126333	0.2898462	0.584851	1.535983e-26	5.774857227714286e-24
GO:0034641	cellular nitrogen compound metabolic process	0.380459	9479.897	10579	1.11594	0.4245696	2.578264e-46	6.785475195200001e-43	5172	2685.573	3020	1.124527	0.3097436	0.5839134	3.6777870000000002e-28	1.7284285404642856e-25
GO:1901576	organic substance biosynthetic process	0.3797928	9463.298	9823	1.03801	0.3942288	1.447822e-06	2.4085827683944373e-05	4746	2464.371	2774	1.125642	0.2845128	0.5844922	1.087023e-25	3.764246225526316e-23
GO:0051171	regulation of nitrogen compound metabolic process	0.3769965	9393.622	9522	1.013666	0.3821487	0.0473952	0.2082382092821369	4508	2340.789	2598	1.109882	0.2664615	0.5763088	7.172950999999999e-19	1.2101136180641026e-16
GO:0044249	cellular biosynthetic process	0.3744834	9331.004	9677	1.03708	0.3883694	3.210787e-06	4.976530757714959e-05	4675	2427.504	2734	1.12626	0.2804103	0.5848128	1.902751e-25	6.420077027948719e-23
GO:1901360	organic cyclic compound metabolic process	0.3744601	9330.423	10231	1.09652	0.4106032	5.501428e-32	1.765690025658537e-29	4980	2585.876	2895	1.119543	0.2969231	0.5813253	7.132168e-25	2.234576159809524e-22
