ID	name	Binom_Genome_Fraction	Binom_Expected	Binom_Observed_Region_Hits	Binom_Fold_Enrichment	Binom_Region_Set_Coverage	Binom_Raw_PValue	Binom_Adjp_BH	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0005622	intracellular	0.8286551	20647.6	22670	1.097949	0.9098206	4.1503569999999994e-296	7.171816895999999e-293	14472	7514.619	8125	1.081226	0.8333333	0.561429	1.6253359999999998e-100	1.404290304e-97
GO:0044424	intracellular part	0.8161994	20337.24	22425	1.102657	0.899988	1.3070549999999999e-295	1.12929552e-292	14132	7338.073	7987	1.088433	0.8191795	0.5651712	1.1709849999999999e-107	2.0234620800000003e-104
GO:0043226	organelle	0.791172	19713.63	21491	1.090159	0.8625035	2.397709e-186	1.3810803839999999e-183	13296	6903.978	7491	1.085027	0.7683077	0.5634025	1.051099e-79	3.02716512e-77
GO:0043229	intracellular organelle	0.750962	18711.72	20547	1.098082	0.8246177	6.450023999999999e-172	2.786410368e-169	12367	6421.593	7026	1.094121	0.7206154	0.5681248	1.057408e-77	2.6102871771428573e-75
GO:0005623	cell	0.898121	22378.48	23589	1.054093	0.9467031	2.1550909999999997e-168	7.447994496000001e-166	16433	8532.873	8755	1.026032	0.8979487	0.5327694	5.681780000000001e-23	4.675293257142857e-21
GO:0044446	intracellular organelle part	0.5859578	14600.31	16719	1.145113	0.6709877	6.134184e-168	1.766644992e-165	8863	4602.133	5301	1.151857	0.5436923	0.5981045	1.748446e-93	1.007104896e-90
GO:0044464	cell part	0.8978193	22370.96	23579	1.054	0.9463017	4.336294e-167	1.0704451474285717e-164	16405	8518.334	8745	1.026609	0.8969231	0.5330692	1.2696690000000001e-23	1.096994016e-21
GO:0044422	organelle part	0.5980191	14900.84	16909	1.134768	0.678613	1.077001e-152	2.32632216e-150	9078	4713.772	5407	1.147064	0.5545641	0.5956158	8.301958e-92	3.586445856e-89
GO:0043227	membrane-bounded organelle	0.7563244	18845.34	20469	1.086157	0.8214873	5.4146109999999995e-136	1.039605312e-133	12319	6396.669	6987	1.092287	0.7166154	0.5671727	5.92885e-74	1.1383392e-71
GO:0043231	intracellular membrane-bounded organelle	0.6843317	17051.49	18602	1.090931	0.7465586	2.477928e-103	4.281859584e-101	10646	5527.96	6130	1.108908	0.6287179	0.5758031	8.465455e-71	1.3298460218181818e-68
