ID	name	Binom_Genome_Fraction	Binom_Expected	Binom_Observed_Region_Hits	Binom_Fold_Enrichment	Binom_Region_Set_Coverage	Binom_Raw_PValue	Binom_Adjp_BH	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0005488	binding	0.850433	21190.24	22343	1.054401	0.896697	1.1664579999999999e-102	4.9247856759999994e-99	14398	7476.194	7908	1.057757	0.8110769	0.549243	1.4334349999999998e-50	3.0259812849999995e-47
GO:0005515	protein binding	0.7330151	18264.54	19618	1.074103	0.7873339	6.259225e-88	1.3213223975e-84	11170	5800.048	6473	1.116025	0.6638974	0.5794987	1.389541e-89	5.866642102e-86
GO:0097159	organic cyclic compound binding	0.4471765	11142.3	11831	1.06181	0.4748164	1.029731e-18	2.898349521333333e-16	6009	3120.187	3427	1.098332	0.3514872	0.5703112	3.8465120000000003e-22	2.0299967080000001e-19
GO:1901363	heterocyclic compound binding	0.4422906	11020.55	11713	1.062832	0.4700807	6.284003e-19	1.8950757618571424e-16	5925	3076.57	3386	1.100576	0.3472821	0.5714768	1.2018750000000001e-22	7.249023214285714e-20
GO:0003676	nucleic acid binding	0.3103826	7733.803	8363	1.081357	0.3356343	6.2263900000000005e-18	1.314390929e-15	4032	2093.625	2302	1.099528	0.2361026	0.5709325	6.492166e-14	9.789258875714284e-12
GO:0019899	enzyme binding	0.167684	4178.182	4883	1.16869	0.1959706	6.653992e-32	5.618630844800001e-29	1895	983.9831	1254	1.274412	0.1286154	0.6617414	4.704092e-40	6.620225474666667e-37
GO:0044877	macromolecular complex binding	0.1214318	3025.716	3437	1.135929	0.137938	2.580071e-15	3.7562275041379305e-13	1380	716.5681	883	1.232262	0.0905641	0.6398551	4.09919e-21	1.4422316816666665e-18
GO:0003723	RNA binding	0.1168352	2911.182	3845	1.32077	0.1543123	4.4391619999999997e-70	6.247380654666667e-67	1638	850.5352	1057	1.242747	0.1084103	0.6452991	3.10481e-27	3.2771269550000002e-24
GO:0019904	protein domain specific binding	0.07119319	1773.921	1859	1.047961	0.0746077	0.01912348	0.0947644748356807	693	359.8418	460	1.278339	0.04717949	0.6637807	3.060947e-15	5.874235560909092e-13
GO:0016817	hydrolase activity, acting on acid anhydrides	0.06873896	1712.769	1810	1.056769	0.07264117	0.008086583	0.0467692512684931	860	446.557	504	1.128635	0.05169231	0.5860465	3.304956e-05	0.0014094468921212
GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	0.06870895	1712.021	1808	1.056062	0.0725609	0.008783431	0.0502132743626522	857	444.9992	503	1.130339	0.05158974	0.5869312	2.719161e-05	0.0012084523938947
GO:0016462	pyrophosphatase activity	0.06859091	1709.08	1803	1.054954	0.07236024	0.01001647	0.0559010647291941	855	443.9607	501	1.128478	0.05138462	0.5859649	3.554534e-05	0.0014712982890196
GO:0000988	transcription factor activity, protein binding	0.06707538	1671.317	1850	1.106911	0.0742465	4.398457e-06	8.1807424907489e-05	608	315.7054	421	1.333522	0.04317949	0.6924342	8.732693e-19	2.6335307032857143e-16
GO:0032403	protein complex binding	0.06653735	1657.911	1785	1.076656	0.07163784	0.0007247028	0.0063611127268191	783	406.5745	471	1.158459	0.04830769	0.6015326	1.368977e-06	8.256886991428572e-05
GO:0000989	transcription factor activity, transcription factor binding	0.06635438	1653.352	1832	1.108052	0.0735241	3.99404e-06	7.494594168888888e-05	600	311.5514	415	1.332044	0.0425641	0.6916667	2.115608e-18	5.954731317333333e-16
