ID	name	Binom_Genome_Fraction	Binom_Expected	Binom_Observed_Region_Hits	Binom_Fold_Enrichment	Binom_Region_Set_Coverage	Binom_Raw_PValue	Binom_Adjp_BH	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0034660	ncRNA metabolic process	0.0305195	1196.853	2013	1.681911	0.05133109	2.588248e-106	3.4058755432000004e-102	555	398.2274	484	1.215386	0.0359237	0.8720721	7.846727999999999e-19	1.4750727678857144e-16
GO:0006335	DNA replication-dependent nucleosome assembly	0.0003995026	15.66689	159	10.14879	0.004054468	4.574941999999999e-100	3.0100830888999996e-96	32	22.96086	30	1.306571	0.002226676	0.9375	0.002190461	0.0340310227851239
GO:0034470	ncRNA processing	0.02131152	835.7527	1468	1.7565	0.0374337	3.508602e-89	1.5389897906e-85	396	284.1406	356	1.252901	0.02642322	0.8989899	4.691513999999999e-19	9.21427354119403e-17
GO:0016072	rRNA metabolic process	0.01336385	524.0767	978	1.866139	0.0249388	2.690625e-71	8.533232520800001e-68	259	185.8394	238	1.280675	0.01766496	0.9189189	5.247908e-16	7.193460559583333e-14
GO:0006364	rRNA processing	0.0129454	507.667	955	1.881154	0.02435231	3.242356e-71	8.533232520800001e-68	252	180.8167	232	1.283067	0.01721962	0.9206349	6.81628e-16	9.152594746938774e-14
GO:0006396	RNA processing	0.06062086	2377.308	3252	1.367934	0.08292534	1.777314e-69	3.897945821e-66	893	640.7514	763	1.190789	0.05663178	0.8544233	3.092579e-23	8.658563204468084e-21
GO:0042254	ribosome biogenesis	0.01823246	715.0043	1219	1.704885	0.03108425	2.7957300000000003e-67	5.2555730100000006e-64	323	231.7611	292	1.259918	0.02167298	0.9040248	1.078729e-16	1.5772216567777778e-14
GO:0022613	ribonucleoprotein complex biogenesis	0.02832794	1110.908	1717	1.545582	0.04378315	7.556996000000001e-66	1.24303137955e-62	454	325.7571	400	1.227909	0.02968901	0.8810573	1.725104e-17	2.873499181772152e-15
GO:0007005	mitochondrion organization	0.03487868	1367.802	2031	1.484864	0.05179009	1.649055e-65	2.411101638333333e-62	540	387.4645	459	1.184625	0.03406814	0.85	1.334925e-13	1.405302246e-11
GO:0040029	regulation of gene expression, epigenetic	0.01531664	600.6574	1050	1.748085	0.02677479	5.935128e-63	7.810034935199999e-60	248	177.9466	212	1.191368	0.01573517	0.8548387	2.047239e-07	9.354034028125e-06
GO:0006401	RNA catabolic process	0.01408922	552.5228	981	1.775492	0.0250153	8.539739e-62	1.0215856863727273e-58	241	172.9239	215	1.243321	0.01595784	0.8921162	3.180844e-11	2.5997966581366463e-09
GO:0006402	mRNA catabolic process	0.01206864	473.2838	866	1.829769	0.02208282	8.429503e-60	9.243652498083335e-57	213	152.8332	192	1.256272	0.01425072	0.9014085	3.848063e-11	3.125719815864197e-09
