ID	name	Binom_Genome_Fraction	Binom_Expected	Binom_Observed_Region_Hits	Binom_Fold_Enrichment	Binom_Region_Set_Coverage	Binom_Raw_PValue	Binom_Adjp_BH	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0009987	cellular process	0.8638668	33877.4	34741	1.025492	0.8858884	4.7831590000000006e-39	1.4304906654772728e-36	14773	10600.02	10834	1.022073	0.8041268	0.7333649	3.820399e-20	7.979782609682539e-18
GO:0008152	metabolic process	0.6502981	25502.09	26770	1.049718	0.6826295	5.722116e-42	2.2817371043636364e-39	9664	6934.179	7468	1.076984	0.5542938	0.7727649	1.618705e-67	1.06502695475e-63
GO:0071704	organic substance metabolic process	0.6372781	24991.5	26110	1.044755	0.6657997	1.677265e-32	3.19871451231884e-30	9327	6692.372	7192	1.074656	0.5338084	0.7710947	1.741799e-59	7.640111013666666e-56
GO:0044237	cellular metabolic process	0.6123062	24012.2	25266	1.052215	0.6442778	2.7759360000000003e-39	8.495009726511627e-37	8847	6347.959	6887	1.084916	0.5111705	0.778456	1.816161e-69	2.3898862599e-65
GO:0044238	primary metabolic process	0.6121081	24004.43	25277	1.053014	0.6445583	2.092069e-40	7.058855377179487e-38	8934	6410.384	6894	1.075443	0.51169	0.7716588	3.8353029999999997e-56	1.0093750435400002e-52
GO:0043170	macromolecule metabolic process	0.5591263	21926.7	22501	1.026192	0.5737709	2.561792e-09	6.57127113606238e-08	7605	5456.791	5890	1.079389	0.4371706	0.7744905	2.195151e-47	3.610749001125e-44
GO:0044260	cellular macromolecule metabolic process	0.5221029	20474.79	21233	1.037031	0.5414372	8.926706e-15	4.679941205338645e-13	6978	5006.902	5471	1.092692	0.4060714	0.7840355	3.645026e-56	1.0093750435400002e-52
GO:0006807	nitrogen compound metabolic process	0.4177657	16383.1	17513	1.068968	0.4465779	4.653164e-31	8.274457442702703e-29	5667	4066.224	4478	1.101267	0.3323684	0.7901888	8.936583e-50	1.6799499385285714e-46
GO:0034641	cellular nitrogen compound metabolic process	0.380459	14920.08	16271	1.090544	0.4149072	1.165995e-44	5.479760073214285e-42	5172	3711.048	4113	1.108312	0.3052772	0.7952436	2.3830409999999997e-50	5.226406086499999e-47
GO:1901576	organic substance biosynthetic process	0.3797928	14893.96	15060	1.011148	0.3840269	0.04256901	0.1780345796917699	4746	3405.382	3740	1.098262	0.2775922	0.788032	2.599312e-37	2.0120203887058824e-34
GO:0044249	cellular biosynthetic process	0.3744834	14685.74	14845	1.010844	0.3785445	0.04889559	0.1990154867955459	4675	3354.438	3691	1.100333	0.2739553	0.7895187	3.9323519999999996e-38	3.4497213312e-35
GO:1901360	organic cyclic compound metabolic process	0.3744601	14684.83	15760	1.073216	0.4018768	3.132564e-29	5.089062922962963e-27	4980	3573.283	3942	1.103187	0.2925852	0.7915663	1.314934e-43	1.922579611777778e-40
GO:0006725	cellular aromatic compound metabolic process	0.3622131	14204.55	15189	1.069305	0.3873164	3.931047e-25	4.618629238660714e-23	4773	3424.755	3785	1.105188	0.2809322	0.7930023	6.564353e-43	8.638032112700001e-40
GO:0046483	heterocycle metabolic process	0.3564756	13979.55	15093	1.079649	0.3848684	9.137728e-32	1.6471693527671233e-29	4738	3399.642	3757	1.105116	0.278854	0.7929506	1.855027e-42	2.034191691083333e-39
GO:0006139	nucleobase-containing compound metabolic process	0.3453542	13543.41	14698	1.085251	0.374796	1.984741e-34	4.3528678031666665e-32	4564	3274.792	3625	1.10694	0.2690566	0.7942594	6.506537e-42	6.586116952538462e-39
