ID	name	Binom_Genome_Fraction	Binom_Expected	Binom_Observed_Region_Hits	Binom_Fold_Enrichment	Binom_Region_Set_Coverage	Binom_Raw_PValue	Binom_Adjp_BH	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0005488	binding	0.850433	33350.58	34847	1.044869	0.8885914	9.194034e-108	3.8817211548e-104	14398	10330.95	10759	1.041434	0.7985601	0.7472566	1.996833e-58	4.215314463e-55
GO:0003723	RNA binding	0.1168352	4581.807	5922	1.292503	0.1510098	1.1797709999999999e-91	2.4904965809999998e-88	1638	1175.309	1375	1.169905	0.102056	0.8394383	1.1271480000000001e-33	9.517637712e-31
GO:0019843	rRNA binding	0.001981897	77.72209	231	2.972128	0.005890453	5.684991e-45	8.000677334e-42	60	43.05161	52	1.207853	0.003859571	0.8666667	0.005084282	0.1219649920681818
GO:0005515	protein binding	0.7330151	28745.92	29933	1.041296	0.7632854	4.01133e-43	4.2339588150000006e-40	11170	8014.774	8590	1.071771	0.6375714	0.7690242	8.894541999999999e-80	3.7552756324e-76
GO:0003735	structural constituent of ribosome	0.008019204	314.4811	561	1.783891	0.01430539	1.928235e-36	1.628201634e-33	162	116.2393	142	1.221617	0.0105396	0.8765432	9.268375e-07	7.246496157407408e-05
GO:0004540	ribonuclease activity	0.005643617	221.3201	423	1.911259	0.01078641	9.340083999999999e-34	6.572305774666667e-31	99	71.03515	87	1.224746	0.006457359	0.8787879	9.897881e-05	0.0045921817123076
GO:0004518	nuclease activity	0.01337531	524.526	813	1.549971	0.02073133	4.713178e-32	2.8427196451428567e-29	212	152.1157	177	1.163588	0.01313739	0.8349057	4.318153e-05	0.0023676937618181
GO:0051082	unfolded protein binding	0.00485179	190.2678	367	1.92886	0.009358425	3.217897e-30	1.5384409757777778e-27	106	76.05784	84	1.104423	0.006234692	0.7924528	0.05054799	0.633274818338279
GO:0043021	ribonucleoprotein complex binding	0.006421955	251.8434	452	1.794766	0.01152591	3.279481e-30	1.5384409757777778e-27	115	82.51558	105	1.272487	0.007793365	0.9130435	2.142255e-07	1.8303366392e-05
GO:0042605	peptide antigen binding	0.0006993107	27.42417	105	3.82874	0.002677479	1.433206e-29	6.050995732e-27	18	12.91548	13	1.006544	0.0009648927	0.7222222	0.6000611	1.0
GO:0004521	endoribonuclease activity	0.003118339	122.2888	261	2.134292	0.006655447	7.305556000000001e-28	2.804005221090909e-25	56	40.1815	50	1.244354	0.003711126	0.8928571	0.001399802	0.0447724548787878
GO:0003676	nucleic acid binding	0.3103826	12171.96	13135	1.079119	0.3349398	8.661391e-26	3.047366066833333e-23	4032	2893.068	3191	1.102981	0.2368441	0.7914187	1.593723e-33	1.1214497509999998e-30
GO:0034062	5'-3' RNA polymerase activity	0.00193164	75.75121	180	2.3762	0.004589963	1.83188e-24	5.949382584615384e-22	45	32.2887	38	1.176882	0.002820456	0.8444444	0.03662682	0.5241980814915254
GO:0003899	DNA-directed 5'-3' RNA polymerase activity	0.001869999	73.3339	174	2.372709	0.004436965	1.2165490000000001e-23	3.668764198571429e-21	43	30.85365	36	1.166799	0.002672011	0.8372093	0.05223394	0.6505359725073747
GO:0004519	endonuclease activity	0.008560445	335.7064	531	1.581739	0.01354039	3.38212e-23	9.519540426666665e-21	135	96.86611	111	1.145912	0.0082387	0.8222222	0.003289952	0.087522640525
