ID	name	Binom_Genome_Fraction	Binom_Expected	Binom_Observed_Region_Hits	Binom_Fold_Enrichment	Binom_Region_Set_Coverage	Binom_Raw_PValue	Binom_Adjp_BH	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0005488	binding	0.850433	33350.58	34847	1.044869	0.8885914	9.194034e-108	3.8817211548e-104	14398	10330.95	10759	1.041434	0.7985601	0.7472566	1.996833e-58	4.215314463e-55
GO:0005515	protein binding	0.7330151	28745.92	29933	1.041296	0.7632854	4.01133e-43	4.2339588150000006e-40	11170	8014.774	8590	1.071771	0.6375714	0.7690242	8.894541999999999e-80	3.7552756324e-76
GO:0097159	organic cyclic compound binding	0.4471765	17536.47	18443	1.051694	0.4702927	1.989753e-20	4.4214406136842115e-18	6009	4311.618	4675	1.08428	0.3469903	0.7779997	1.02679e-37	1.083776845e-34
GO:1901363	heterocyclic compound binding	0.4422906	17344.87	18267	1.053165	0.4658048	4.1630289999999996e-21	1.0339004963529413e-18	5925	4251.346	4617	1.086009	0.3426854	0.7792405	1.7813859999999998e-38	2.507003897333333e-35
GO:0003676	nucleic acid binding	0.3103826	12171.96	13135	1.079119	0.3349398	8.661391e-26	3.047366066833333e-23	4032	2893.068	3191	1.102981	0.2368441	0.7914187	1.593723e-33	1.1214497509999998e-30
GO:0019899	enzyme binding	0.167684	6575.895	6851	1.041835	0.1746991	0.0001107887	0.0011793088206549	1895	1359.713	1554	1.142888	0.1153418	0.8200528	9.612821e-28	5.073166282749999e-25
GO:0003723	RNA binding	0.1168352	4581.807	5922	1.292503	0.1510098	1.1797709999999999e-91	2.4904965809999998e-88	1638	1175.309	1375	1.169905	0.102056	0.8394383	1.1271480000000001e-33	9.517637712e-31
GO:0016817	hydrolase activity, acting on acid anhydrides	0.06873896	2695.667	2884	1.069865	0.07354141	0.000102589	0.0011049254030612	860	617.073	683	1.106838	0.05069398	0.794186	8.810726e-08	8.086714167826087e-06
GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	0.06870895	2694.49	2881	1.069219	0.07346491	0.0001177023	0.0012423477765	857	614.9204	681	1.10746	0.05054554	0.7946324	7.821203e-08	7.338026459111111e-06
GO:0016462	pyrophosphatase activity	0.06859091	2689.861	2874	1.068457	0.07328641	0.0001394796	0.0014365925124087	855	613.4854	680	1.108421	0.05047131	0.7953216	6.208833e-08	6.241355458571428e-06
GO:0017111	nucleoside-triphosphatase activity	0.06505251	2551.099	2760	1.081887	0.07037944	1.233198e-05	0.00018528690234875445	815	584.7843	647	1.106391	0.04802197	0.793865	2.167618e-07	1.8303366392e-05
GO:0019001	guanyl nucleotide binding	0.03271947	1283.127	1457	1.135508	0.0371532	7.031588e-07	1.6047224073513515e-05	396	284.1406	329	1.157877	0.02441921	0.8308081	7.665387e-08	7.338026459111111e-06
GO:0032561	guanyl ribonucleotide binding	0.03264243	1280.106	1457	1.138187	0.0371532	4.513682e-07	1.070604797977528e-05	395	283.4231	329	1.160809	0.02441921	0.8329114	4.484699e-08	4.61814614097561e-06
GO:0005525	GTP binding	0.02982682	1169.688	1417	1.211434	0.03613321	6.181887e-13	5.019216714230769e-11	375	269.0725	316	1.174405	0.02345432	0.8426667	6.71288e-09	7.659940367567568e-07
GO:0044389	ubiquitin-like protein ligase binding	0.02758412	1081.739	1144	1.057556	0.02917177	0.02925371	0.1216839050443349	315	226.0209	263	1.163609	0.01952052	0.8349206	6.555179e-07	5.2218803279245286e-05
