ID	name	Binom_Genome_Fraction	Binom_Expected	Binom_Observed_Region_Hits	Binom_Fold_Enrichment	Binom_Region_Set_Coverage	Binom_Raw_PValue	Binom_Adjp_BH	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0009987	cellular process	0.8638668	32871.0	34392	1.046272	0.9038396	1.269161e-125	1.6700889599000002e-121	14773	9708.623	9990	1.028982	0.8095624	0.6762337	8.262431e-26	1.3590666191125e-23
GO:0044237	cellular metabolic process	0.6123062	23298.86	25401	1.090225	0.6675514	8.53232e-111	5.613839944e-107	8847	5814.133	6363	1.094402	0.5156402	0.7192269	9.834416e-65	2.1568513357333333e-61
GO:0044238	primary metabolic process	0.6121081	23291.32	25368	1.089161	0.6666842	3.9615669999999996e-108	1.7376753384333332e-104	8934	5871.309	6380	1.08664	0.5170178	0.7141258	8.945396e-56	1.0701133269454545e-52
GO:0033554	cellular response to stress	0.1263306	4807.005	6247	1.299562	0.1641744	1.1690450000000001e-101	3.8458657887500004e-98	1590	1044.927	1281	1.225923	0.1038088	0.8056604	2.5402309999999998e-42	1.1526517147931036e-39
GO:0008152	metabolic process	0.6502981	24744.49	26664	1.077573	0.7007437	3.63149e-97	9.557355382e-94	9664	6351.055	6866	1.08108	0.5564019	0.7104719	8.314297999999999e-57	1.215642748688889e-53
GO:0071704	organic substance metabolic process	0.6372781	24249.07	26110	1.076742	0.6861843	9.764358999999999e-90	2.1414866680166668e-86	9327	6129.583	6642	1.083597	0.5382496	0.7121261	2.525971e-56	3.3239252389e-53
GO:0034641	cellular nitrogen compound metabolic process	0.380459	14476.84	16333	1.128215	0.4292397	1.4041040000000001e-84	2.639514933714285e-81	5172	3398.971	3743	1.101216	0.3033225	0.7237046	2.956069e-33	9.487539505121952e-31
GO:0006139	nucleobase-containing compound metabolic process	0.3453542	13141.07	14913	1.134839	0.3919214	4.202898e-80	6.913241847750001e-77	4564	2999.401	3315	1.105221	0.2686386	0.7263365	1.311776e-30	3.2569170535849053e-28
GO:1901360	organic cyclic compound metabolic process	0.3744601	14248.58	16009	1.12355	0.4207248	9.510375e-77	1.3905224958333332e-73	4980	3272.791	3601	1.100284	0.2918152	0.7230924	3.879796e-31	1.02108471128e-28
GO:0046483	heterocycle metabolic process	0.3564756	13564.25	15259	1.124942	0.4010144	1.339534e-72	1.7626927906e-69	4738	3113.752	3426	1.10028	0.2776337	0.7230899	2.959405e-29	6.1813984753968256e-27
GO:0006807	nitrogen compound metabolic process	0.4177657	15896.4	17575	1.105596	0.4618801	7.103547e-68	8.497779543e-65	5667	3724.279	4092	1.098736	0.3316045	0.7220752	9.436583e-36	3.1839998896666656e-33
GO:0090304	nucleic acid metabolic process	0.3108041	11826.41	13393	1.132466	0.351975	2.9307330000000003e-66	3.21379296225e-63	4010	2635.32	2899	1.100056	0.2349271	0.7229426	7.520203e-24	1.0640682933010752e-21
GO:0044260	cellular macromolecule metabolic process	0.5221029	19866.54	21532	1.083832	0.5658721	5.220767e-66	5.284620996384616e-63	6978	4585.851	5060	1.103394	0.4100486	0.7251361	1.869537e-52	1.7572312416428573e-49
GO:0006725	cellular aromatic compound metabolic process	0.3622131	13782.57	15377	1.115684	0.4041155	3.574971e-64	3.3602173849285714e-61	4773	3136.753	3452	1.100501	0.2797407	0.7232349	1.201754e-29	2.592439489508197e-27
GO:0000956	nuclear-transcribed mRNA catabolic process	0.01091331	415.2625	785	1.890371	0.02063021	1.489802e-59	1.3069536345333333e-56	198	130.123	169	1.298771	0.0136953	0.8535354	3.279526e-10	1.10939029907455e-08
GO:0007005	mitochondrion organization	0.03487868	1327.168	1936	1.458745	0.05087908	1.5796089999999998e-57	1.2991296769375e-54	540	354.881	427	1.20322	0.03460292	0.7907407	3.686181e-12	1.5205785510658302e-10
GO:0006974	cellular response to DNA damage stimulus	0.05419966	2062.351	2799	1.357189	0.07355917	6.509870999999999e-57	5.0390230875882344e-54	740	486.3184	599	1.231703	0.04854133	0.8094595	7.980369e-21	8.334418704047621e-19
GO:0044265	cellular macromolecule catabolic process	0.06140191	2336.404	3109	1.330677	0.08170613	3.8455159999999997e-56	2.8112858357777773e-53	854	561.2377	678	1.208044	0.05494327	0.793911	2.153207e-19	1.9016141552348997e-17
GO:0006402	mRNA catabolic process	0.01206864	459.2238	829	1.80522	0.02178655	4.228067e-55	2.928270192263158e-52	213	139.9808	175	1.250171	0.01418152	0.8215962	6.658668e-08	1.659496443409091e-06
GO:0006839	mitochondrial transport	0.0153724	584.9352	993	1.697624	0.02609655	3.200552e-54	2.1058031884e-51	239	157.0677	196	1.24787	0.01588331	0.8200837	1.468222e-08	4.033472504801671e-07
GO:0006401	RNA catabolic process	0.01408922	536.1089	927	1.729126	0.02436204	7.925577e-54	4.9663175115714294e-51	241	158.3821	193	1.218572	0.01564019	0.8008299	5.838072e-07	1.274016408756219e-05
GO:0044271	cellular nitrogen compound biosynthetic process	0.28135	10705.65	12068	1.127255	0.3171533	2.051766e-53	1.2272358542727273e-50	3480	2287.011	2513	1.098814	0.2036467	0.7221264	7.695975e-20	6.984230001724138e-18
GO:0034660	ncRNA metabolic process	0.0305195	1161.297	1707	1.469908	0.04486084	1.395766e-52	7.985602084347826e-50	555	364.7388	441	1.209084	0.03573744	0.7945946	3.980887e-13	1.825243624843205e-11
