ID	name	Binom_Genome_Fraction	Binom_Expected	Binom_Observed_Region_Hits	Binom_Fold_Enrichment	Binom_Region_Set_Coverage	Binom_Raw_PValue	Binom_Adjp_BH	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0009987	cellular process	0.8638668	32871.0	34392	1.046272	0.9038396	1.269161e-125	1.6700889599000002e-121	14773	9708.623	9990	1.028982	0.8095624	0.6762337	8.262431e-26	1.3590666191125e-23
GO:0065007	biological regulation	0.765679	29134.85	29884	1.025713	0.785367	2.804261e-20	1.765611028660287e-18	11658	7661.486	7904	1.031654	0.6405186	0.6779894	1.008382e-14	5.460616764609053e-13
GO:0050789	regulation of biological process	0.7427169	28261.12	28805	1.019245	0.7570103	7.221165e-11	1.5501355666394775e-09	11037	7253.373	7471	1.030004	0.6054295	0.676905	6.384976e-12	2.5852276672000004e-10
GO:0050794	regulation of cellular process	0.7205936	27419.31	27926	1.018479	0.7339098	3.100206e-09	5.270750743410853e-08	10477	6885.348	7110	1.032628	0.576175	0.6786294	2.063669e-12	8.759942055161289e-11
GO:0008152	metabolic process	0.6502981	24744.49	26664	1.077573	0.7007437	3.63149e-97	9.557355382e-94	9664	6351.055	6866	1.08108	0.5564019	0.7104719	8.314297999999999e-57	1.215642748688889e-53
GO:0071704	organic substance metabolic process	0.6372781	24249.07	26110	1.076742	0.6861843	9.764358999999999e-90	2.1414866680166668e-86	9327	6129.583	6642	1.083597	0.5382496	0.7121261	2.525971e-56	3.3239252389e-53
GO:0044237	cellular metabolic process	0.6123062	23298.86	25401	1.090225	0.6675514	8.53232e-111	5.613839944e-107	8847	5814.133	6363	1.094402	0.5156402	0.7192269	9.834416e-65	2.1568513357333333e-61
GO:0044238	primary metabolic process	0.6121081	23291.32	25368	1.089161	0.6666842	3.9615669999999996e-108	1.7376753384333332e-104	8934	5871.309	6380	1.08664	0.5170178	0.7141258	8.945396e-56	1.0701133269454545e-52
GO:0043170	macromolecule metabolic process	0.5591263	21275.32	22556	1.060196	0.5927834	1.9989340000000002e-40	5.718254892608695e-38	7605	4997.907	5428	1.086055	0.4398703	0.713741	5.224428e-42	2.2916082684e-39
GO:0044260	cellular macromolecule metabolic process	0.5221029	19866.54	21532	1.083832	0.5658721	5.220767e-66	5.284620996384616e-63	6978	4585.851	5060	1.103394	0.4100486	0.7251361	1.869537e-52	1.7572312416428573e-49
GO:0019222	regulation of metabolic process	0.5035609	19161.0	20255	1.057095	0.5323119	1.6927310000000002e-29	2.6205467328235293e-27	6340	4166.565	4524	1.085786	0.3666126	0.7135647	6.858562e-32	1.9619960295217396e-29
GO:0031323	regulation of cellular metabolic process	0.4806449	18289.02	19339	1.05741	0.5082389	2.561915e-27	3.3712239485e-25	5980	3929.978	4255	1.082703	0.3448136	0.7115385	1.8323720000000002e-27	3.348914326111111e-25
GO:0080090	regulation of primary metabolic process	0.4793338	18239.13	19400	1.063647	0.5098421	5.842895000000001e-33	1.0532418534931507e-30	5989	3935.893	4272	1.085395	0.3461912	0.7133077	3.137681e-29	6.45136629359375e-27
GO:0060255	regulation of macromolecule metabolic process	0.4778432	18182.41	19322	1.062675	0.5077922	7.725705e-32	1.3033660525e-29	5942	3905.005	4238	1.085274	0.343436	0.7132279	7.658418e-29	1.550417268646154e-26
GO:0048518	positive regulation of biological process	0.47298	17997.36	18423	1.02365	0.484166	6.392026e-06	5.999477185021398e-05	5433	3570.497	4067	1.139057	0.3295786	0.7485735	8.66427e-66	2.85032822325e-62
