ID	name	Binom_Genome_Fraction	Binom_Expected	Binom_Observed_Region_Hits	Binom_Fold_Enrichment	Binom_Region_Set_Coverage	Binom_Raw_PValue	Binom_Adjp_BH	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0005488	binding	0.850433	32359.82	34591	1.068949	0.9090694	2.303972e-256	9.727369784e-253	14398	9462.178	9960	1.052612	0.8071313	0.6917627	1.917665e-71	4.0481908150000005e-68
GO:0005515	protein binding	0.7330151	27891.96	30716	1.101249	0.8072324	1.488886e-251	3.143038346e-248	11170	7340.779	8103	1.103834	0.6566451	0.7254252	3.204952e-125	1.3531307344e-121
GO:0097159	organic cyclic compound binding	0.4471765	17015.51	18456	1.084657	0.4850332	5.893283999999999e-50	4.738745357e-47	6009	3949.037	4272	1.081783	0.3461912	0.7109336	4.545165e-27	1.7445169663636364e-24
GO:1901363	heterocyclic compound binding	0.4422906	16829.6	18268	1.085469	0.4800925	6.734361e-50	4.738745357e-47	5925	3893.833	4221	1.084022	0.3420583	0.7124051	6.087971e-28	2.5703413562000003e-25
GO:0003824	catalytic activity	0.4365299	16610.4	17127	1.031101	0.4501064	4.937191e-08	1.336206436025641e-06	5832	3832.714	4225	1.102352	0.3423825	0.7244513	8.111537e-40	8.561727303499999e-37
GO:0003676	nucleic acid binding	0.3103826	11810.37	12982	1.099204	0.3411737	3.4634309999999995e-38	2.088943668857143e-35	4032	2649.778	2829	1.067637	0.2292545	0.7016369	7.581755e-12	5.518994760344827e-10
GO:0003677	DNA binding	0.214041	8144.476	8538	1.048318	0.2243831	5.160321e-07	9.993979477981651e-06	2476	1627.195	1689	1.037983	0.136872	0.6821486	0.002568044	0.0494317325363636
GO:0036094	small molecule binding	0.1985852	7556.366	7845	1.038197	0.2061707	0.0001136722	0.0010856305936794	2376	1561.476	1763	1.12906	0.1428687	0.7420034	1.216367e-21	2.0542005896e-19
GO:1901265	nucleoside phosphate binding	0.1781988	6780.644	7062	1.041494	0.185593	9.060819e-05	0.0009001124192470587	2110	1386.665	1588	1.145194	0.1286872	0.7526066	6.890243e-24	1.4545302973000001e-21
GO:0000166	nucleotide binding	0.1781047	6777.064	7057	1.041306	0.1854616	9.734864e-05	0.0009536101115545244	2109	1386.007	1587	1.145016	0.1286062	0.7524893	8.046597e-24	1.6177491682857138e-21
GO:0019899	enzyme binding	0.167684	6380.544	7580	1.187987	0.1992063	1.920345e-58	2.0269241475e-55	1895	1245.369	1511	1.213295	0.1224473	0.7973615	2.792998e-45	3.930679185333334e-42
GO:0032553	ribonucleotide binding	0.163401	6217.57	6375	1.02532	0.1675383	0.0149975	0.0614155625606207	1881	1236.169	1411	1.14143	0.1143436	0.7501329	3.233546e-20	4.707596969655172e-18
GO:0017076	purine nucleotide binding	0.1621175	6168.735	6359	1.030843	0.1671178	0.004265175	0.0222590467861557	1878	1234.197	1407	1.140012	0.1140194	0.7492013	8.291895e-20	1.0296582555882353e-17
GO:0032555	purine ribonucleotide binding	0.1616087	6149.373	6331	1.029536	0.166382	0.005963866	0.0288424309873997	1866	1226.311	1398	1.140005	0.1132901	0.7491961	1.116928e-19	1.3099083377777777e-17
GO:0001882	nucleoside binding	0.1571869	5981.119	6268	1.047964	0.1647263	3.042209e-05	0.0003509346010382513	1841	1209.881	1384	1.143914	0.1121556	0.7517653	1.93747e-20	2.921427978571428e-18
