File,Total Terms,Significant Terms,Mean Fold Enrichment,Median Fold Enrichment,Max Fold Enrichment
human_shared_from_mouse_GO_Molecular_Function.tsv,4222,1256,,,
human_shared_from_mouse_GO_Cellular_Component.tsv,1728,664,,,
human_shared_from_mouse_GO_Biological_Process.tsv,13159,4024,,,
human_promoters_GO_Molecular_Function.tsv,4222,1129,,,
human_promoters_GO_Cellular_Component.tsv,1728,657,,,
human_promoters_GO_Biological_Process.tsv,13159,3244,,,
human_enhancers_GO_Molecular_Function.tsv,4222,1983,,,
human_enhancers_GO_Cellular_Component.tsv,1728,846,,,
human_enhancers_GO_Biological_Process.tsv,13159,6966,,,
human_mapped_from_mouse_promoters_GO_Cellular_Component.tsv,1728,615,,,
human_mapped_from_mouse_promoters_GO_Molecular_Function.tsv,4222,997,,,
human_mapped_from_mouse_promoters_GO_Biological_Process.tsv,13159,3031,,,
human_mapped_from_mouse_enhancers_GO_Cellular_Component.tsv,1728,746,,,
human_mapped_from_mouse_enhancers_GO_Molecular_Function.tsv,4222,1627,,,
human_mapped_from_mouse_enhancers_GO_Biological_Process.tsv,13159,6514,,,
