PeakID (cmd=annotatePeaks.pl /jet/home/bpaliwal/LiverOCRAnalysis/LiverOCRAnalysis/results/classification_results/raw_results/mouse_mapped_from_human_promoters.bed /ocean/projects/bio230007p/ikaplow/MouseGenomeInfo/mm10.fa -gtf /ocean/projects/bio230007p/bpaliwal/MouseGenomeInfo/gencode.vM10.annotation.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr1-585	chr1	194911524	194911808	+	194910585	NA	Intergenic	Intergenic	-27153	ENSMUST00000016638.7	ENSMUSG00000016494	ENSMUST00000016638			Cd34			
chr1-584	chr1	194816944	194817268	+	194819118	NA	TTS (ENSMUST00000027952.11)	-TTS (ENSMUST00000027952.11)	2981	ENSMUST00000191940.1	ENSMUSG00000103597	ENSMUST00000191940			Gm19777			
chr1-583	chr1	194781348	194781935	+	194779689	NA	intron (ENSMUST00000135664.1, intron 4 of 4)	-intron (ENSMUST00000027952.11, intron 13 of 31)	17074	ENSMUST00000135664.1	ENSMUSG00000026640	ENSMUST00000125381			Plxna2			
chr1-582	chr1	194722319	194722858	+	194724690	NA	intron (ENSMUST00000027952.11, intron 4 of 31)	-intron (ENSMUST00000027952.11, intron 4 of 31)	-10119	ENSMUST00000194966.1	ENSMUSG00000103776	ENSMUST00000194966			2900035J10Rik			
chr1-581	chr1	194696635	194696864	+	194696053	NA	intron (ENSMUST00000027952.11, intron 3 of 31)	-intron (ENSMUST00000027952.11, intron 3 of 31)	19747	ENSMUST00000194586.1	ENSMUSG00000102841	ENSMUST00000194586			Gm38036			
chr1-579	chr1	194619463	194620740	+	194621126	NA	exon (ENSMUST00000027952.11, exon 1 of 32)	-exon (ENSMUST00000027952.11, exon 1 of 32)	276	ENSMUST00000027952.11	ENSMUSG00000026640	ENSMUST00000125381			Plxna2			
chr1-578	chr1	194619463	194620740	+	194621126	NA	exon (ENSMUST00000027952.11, exon 1 of 32)	-exon (ENSMUST00000027952.11, exon 1 of 32)	276	ENSMUST00000027952.11	ENSMUSG00000026640	ENSMUST00000125381			Plxna2			
chr1-577	chr1	194618811	194619196	+	194621126	NA	promoter-TSS (ENSMUST00000027952.11)	-promoter-TSS (ENSMUST00000027952.11)	785	ENSMUST00000194398.1	ENSMUSG00000026640	ENSMUST00000125381			Plxna2			
chr1-580	chr1	194619463	194620740	+	194621126	NA	exon (ENSMUST00000027952.11, exon 1 of 32)	-exon (ENSMUST00000027952.11, exon 1 of 32)	276	ENSMUST00000027952.11	ENSMUSG00000026640	ENSMUST00000125381			Plxna2			
chr1-576	chr1	193190060	193190478	+	193189770	NA	intron (ENSMUST00000162454.2, intron 1 of 1)	-intron (ENSMUST00000043550.10, intron 8 of 15)	2995	ENSMUST00000162454.2	ENSMUSG00000090080	ENSMUST00000162454			Gm15872			
chr1-574	chr1	193188885	193189605	+	193189545	NA	intron (ENSMUST00000162454.2, intron 1 of 1)	-intron (ENSMUST00000043550.10, intron 8 of 15)	1971	ENSMUST00000162454.2	ENSMUSG00000090080	ENSMUST00000162454			Gm15872			
chr1-575	chr1	193188885	193189605	+	193189545	NA	intron (ENSMUST00000162454.2, intron 1 of 1)	-intron (ENSMUST00000043550.10, intron 8 of 15)	1971	ENSMUST00000162454.2	ENSMUSG00000090080	ENSMUST00000162454			Gm15872			
chr1-572	chr1	193156849	193157394	+	193157597	NA	exon (ENSMUST00000140066.2, exon 1 of 3)	-exon (ENSMUST00000140066.2, exon 1 of 3)	452	ENSMUST00000140066.2	ENSMUSG00000026638	ENSMUST00000076521			Irf6			
chr1-571	chr1	193156081	193156646	+	193157597	NA	promoter-TSS (ENSMUST00000140066.2)	-promoter-TSS (ENSMUST00000140066.2)	-306	ENSMUST00000140066.2	ENSMUSG00000026638	ENSMUST00000076521			Irf6			
chr1-570	chr1	193156081	193156646	+	193157597	NA	promoter-TSS (ENSMUST00000140066.2)	-promoter-TSS (ENSMUST00000140066.2)	-306	ENSMUST00000140066.2	ENSMUSG00000026638	ENSMUST00000076521			Irf6			
chr1-573	chr1	193156849	193157394	+	193157597	NA	exon (ENSMUST00000140066.2, exon 1 of 3)	-exon (ENSMUST00000140066.2, exon 1 of 3)	452	ENSMUST00000140066.2	ENSMUSG00000026638	ENSMUST00000076521			Irf6			
chr1-569	chr1	191821128	191821758	+	191821195	NA	promoter-TSS (ENSMUST00000027931.7)	-promoter-TSS (ENSMUST00000027931.7)	-1	ENSMUST00000027931.7	ENSMUSG00000026622	ENSMUST00000126446			Nek2			
chr1-567	chr1	191717726	191718798	+	191718792	NA	promoter-TSS (ENSMUST00000110856.7)	-promoter-TSS (ENSMUST00000110856.7)	-127	ENSMUST00000110856.7	ENSMUSG00000026623	ENSMUST00000130876			Lpgat1			
